experiment_dir,basename,ext,canonical,classification
admin_schema,validate_human_submission.cpython-311.pyc,pyc,logos-admin-schema:experiments/admin_schema/src/annotation/__pycache__/validate_human_submission.cpython-311.pyc,IRRELEVANT_bytecode_cache
admin_schema,build_linear_b_graph.cpython-311.pyc,pyc,logos-admin-schema:experiments/admin_schema/src/corpus/__pycache__/build_linear_b_graph.cpython-311.pyc,IRRELEVANT_bytecode_cache
admin_schema,validate_admin_graph.cpython-311.pyc,pyc,logos-admin-schema:experiments/admin_schema/src/corpus/__pycache__/validate_admin_graph.cpython-311.pyc,IRRELEVANT_bytecode_cache
admin_schema,compute_pilot_stats.cpython-311.pyc,pyc,logos-admin-schema:experiments/admin_schema/src/pilot/__pycache__/compute_pilot_stats.cpython-311.pyc,IRRELEVANT_bytecode_cache
admin_schema,anon_key.json,json,logos-admin-schema:experiments/admin_schema/data/human_pilot/anon_key.json,SUBSUMED_PILOT_ARTIFACT (ADMIN-06 annotation-feasibility pilot inputs)
admin_schema,pilot_sample.jsonl,jsonl,logos-admin-schema:experiments/admin_schema/data/human_pilot/pilot_sample.jsonl,SUBSUMED_PILOT_ARTIFACT (ADMIN-06 annotation-feasibility pilot inputs)
admin_schema,annotator_A_packet.csv,csv,logos-admin-schema:experiments/admin_schema/data/human_pilot/annotator_A_packet.csv,SUBSUMED_PILOT_ARTIFACT (ADMIN-06 annotation-feasibility pilot inputs)
admin_schema,pilot_sample.csv,csv,logos-admin-schema:experiments/admin_schema/data/human_pilot/pilot_sample.csv,SUBSUMED_PILOT_ARTIFACT (ADMIN-06 annotation-feasibility pilot inputs)
admin_schema,annotator_B_packet.csv,csv,logos-admin-schema:experiments/admin_schema/data/human_pilot/annotator_B_packet.csv,SUBSUMED_PILOT_ARTIFACT (ADMIN-06 annotation-feasibility pilot inputs)
admin_schema,pilot_items.json,json,logos-admin-schema:experiments/admin_schema/data/evaluation_only/pilot_items.json,SUBSUMED_PILOT_ARTIFACT (ADMIN-06 annotation-feasibility pilot inputs)
admin_schema,pilot_annotations.json,json,logos-admin-schema:experiments/admin_schema/data/evaluation_only/pilot_annotations.json,SUBSUMED_PILOT_ARTIFACT (ADMIN-06 annotation-feasibility pilot inputs)
no_human_structure,lb_indexes.cpython-311.pyc,pyc,logos-no-human-structure:experiments/no_human_structure/src/source_labels/__pycache__/lb_indexes.cpython-311.pyc,IRRELEVANT_bytecode_cache
