scope,finding
admin_structure,"NONE material. ADMIN-01/02 (prior-art + source/blinding-design audits) and ADMIN-03/04/05 (graph/grouping/ontology infrastructure) are inventoried but correctly tagged claim_layer=NOT_APPLICABLE / DESIGNED_NOT_RUN — not counted as scored LA methods, so no false-novelty inflation."
admin_structure,"KU-RO/total-reconciliation overlap across OBS-03, PC-37, PC-42 is explicitly cross-referenced by P1, not double-counted as independent confirmations."
egyptian,"None within scope. EGY-13 (prereg MINT) and EGY-14 (one-shot RUN) are genuinely distinct instances of the same test, not a parameter-tweak duplicate."
egyptian,"EGY-11 -> EGY-12 is a real supersession chain (ADVANCED_PROXIMATE_ONLY -> CLOSED_PRIMARY_COLLATED, 3->5 anchors), correctly marked, not double-counted."
egyptian,"EGY-06 (LB matched-scarcity positive control) and EGY-07 (negative-control nulls) are controls, correctly NOT counted as Linear A methods."
egyptian,LOW-SEVERITY cross-scope: EA-12 (external_language) and EGY-01/EGY-04 (egyptian) both describe the Egyptian corpus build across the branch fork; a naive GLOBAL sum could read them as separate methods. No within-scope duplication; branch-fork supersession disclosed via LIN-10.
constraint_expansion,"CE-E positive-control battery re-audits prior-campaign controls (LB morph 0.5625/0.3125, gate 3/500=0.6%, opaque-LB 11/11, KU-RO 17x) that are also inventoried under LIN-14/LIN-07 — potential cross-scope double-count of one underlying artifact set; disclosed as REPRODUCED, not false-novelty within scope"
constraint_expansion,CE-D2 (morphology NULL) and CE-D5 (phonotactics positive) are confirmations/hardenings of the prior 12h+paper campaign results on cleaned material — distinct instances but not novel methods; disclosed via supersession_relations
paper_core,"NONE material. CSA cluster PC-19/PC-21/PC-22 = engineering stages of one matcher, none counted as an LA result (NOT_APPLICABLE/COMPUTE_BLOCKED/INVALIDATED)."
paper_core,LLM-ablation PC-15/16/17 = three distinct gates of one probe with supersession chain recorded — not false novelty.
paper_core,"Controls/instruments PC-07/13/18/42/20 counted as instances but all claim-layer NOT_APPLICABLE/control, none presented as a Linear A reading — not miscounted as LA methods."
foundry,"None material. LB-positive-control + LA-null pairs (FND-04/06/08/09/13) correctly recorded as SINGLE instances (one method, two corpora), not double-counted. FND-03 (13-channel atlas) marked PROPOSED_ONLY and FND-22 (seals) DESIGNED_NOT_RUN — proposals/infrastructure correctly NOT counted as executed LA methods; FND-23 correctly meta (source audit)."
foundry,Minor/disclosed: FND-16 (WP6 agnostic) and FND-19/20/21 (candidate rounds 1-3) share candidate_engine.py + the same S/W/R end-to-end null — distinct LANGUAGE hypotheses but one METHOD. P1 discloses the shared engine; the report's 'six independent hypotheses' phrasing is a mild dependent-as-independent risk but P1 surfaces it.
relative_phonology,"A- prefixation single positive spread across 4 rows (E1_morphology induction, E5_wrongstruct control, K1_nulls adaptive-null, SEAL_2 held-out) — legit as distinct method instances but must be counted as ONE underlying claim at synthesis level."
relative_phonology,"C3_lb_calib is a near-duplicate of C_AUDIT: both establish the same LB substitution consonant axis; C_AUDIT is the rigorous full-battery re-do that supersedes C3's initial calibration. Both LB-analogue positives, not LA."
relative_phonology,No renamed-identical runs / parameter-tweak-as-new-method / proposals-miscounted found.
