method_id,canonical_name,_scope,claim_layer,implementation_status,scientific_outcome,mechanical_verdict,red_team_status
ADMIN-01,Prior-art / novelty audit (blinded cross-script admin schema induction),admin_structure,NOT_APPLICABLE (meta / methodology audit),RUN_EXPLORATORY,NOT_APPLICABLE,NOVELTY_SUPPORTED (combinatorial); 0/20 works satisfy the defining conjunction,VERIFIED
ADMIN-02,Source / licence audit + de-phoneticisation blinding design,admin_structure,NOT_APPLICABLE (data-prep / design),RUN_EXPLORATORY,NOT_APPLICABLE,No licensing/repro blocker; blinding = map each syllabogram to opaque graphic si,VERIFIED
ADMIN-03,"Canonical de-phoneticised transferable document graph (LB + LA), Stage 4 / 4.1 /",admin_structure,L2 (document structure) — data representation; no L3+ output,"RUN_CONFIRMATORY (built, frozen, 13/13 tests pass)",NOT_APPLICABLE (infrastructure; no scored hypothesis),Frozen graphs; determinism + no-semantic-fields + feature-transferability tests ,VERIFIED
ADMIN-04,Blind formula-cluster induction (document grouping),admin_structure,L2 (document structure),RUN_CONFIRMATORY (blind-by-construction; fold-safety + blindness tests pass),"NOT_APPLICABLE (grouping utility, no scored hypothesis)","GROUPING_ONLY; SAME_FORMULA_CLUSTER edges = 9,432 (VERIFIED_FROM_ARTIFACT manife",VERIFIED
ADMIN-05,LB role ontology freeze (8 coarse / 17 fine classes),admin_structure,L4 (functional role) — target definition only; nothing scored,DESIGNED_NOT_RUN (frozen policy; no gold corpus/splits/models yet),NOT_APPLICABLE,FROZEN (ontology hash 781902c0),VERIFIED
ADMIN-06,"Automated annotation feasibility pilot (Stage 5.1, model-based double annotation",admin_structure,"L4 (functional role) — feasibility of gold, not a reading","RUN_EXPLORATORY (dev-only, verdict not retuned)",NO_POWER,NO_POWER (alpha 0.614 < 0.667 primary-gold threshold),VERIFIED
ADMIN-07,Human-expert annotation package (blinded double annotation) — gate BLOCKED,admin_structure,L4 (functional role) — gold feasibility,DESIGNED_NOT_RUN (BLOCKED: QUALIFIED_HUMAN_ANNOTATORS_REQUIRED; no human data ex,INCOMPLETE,BLOCKED / UNTESTED — validate/compare/adjudicate tools REFUSE without genuine su,VERIFIED
NOHUM-01,Source-label dependency audit (DAG) — shared-decipherment ruling,admin_structure,"NOT_APPLICABLE (source-dependency audit, Art. XI)",RUN_CONFIRMATORY,NOT_APPLICABLE (structural ruling),All content-role sources descend from same primary editions + the single 1952 de,VERIFIED
NOHUM-02,Deterministic source-derived label corpus (Stage 3),admin_structure,L4 (functional role) — label corpus,RUN_CONFIRMATORY,NOT_APPLICABLE (corpus build; feasibility fed to power gate),66 non-trivial REFERENCE_GOLD_A; only 2 of 4 load-bearing classes present (OPERA,VERIFIED
NOHUM-03,"Weak-supervision labeling functions (13 LFs, WS0-4) + circularity audit",admin_structure,L4 (functional role) — weak labels,RUN_CONFIRMATORY,NULL (edition-independent structural signal ~0; index-LF precision is circular),coverage 0.71 / abstain 0.29 / conflict 0.044; index-LF precision on gold=1.0 CI,VERIFIED
NOHUM-04,Pre-Stage-5 power gate -> NO_POWER_BEFORE_MODELING (route closure),admin_structure,L4 (functional role) — power analysis before modeling,POWER_GATED_BEFORE_RUN (Stage 5 NOT frozen/implemented; STOP per Sec VII),NO_POWER,NO_POWER_BEFORE_MODELING,VERIFIED
OBS-01,Experiment 1 — masked logogram (commodity channel) recovery from opaque word con,admin_structure,L3 (functional word-context),RUN_PREREGISTERED (charter gate pre-declared),REFUTED (per-channel NEGATIVE for word-context),"NEGATIVE — word-context does NOT beat series shortcut, transfers negatively cros",VERIFIED
OBS-02,Experiment 2 — masked quantity/accounting channel recovery (presence + magnitude,admin_structure,L3 (functional word-context),RUN_PREREGISTERED,REFUTED (TRIVIAL_RECOVERY for functional word-context; only LAYOUT/L2 beats base,per-channel NEGATIVE: M_sign below majority on presence and below null on magnit,VERIFIED
OBS-03,Experiment 3 — accounting-closure structure + masked-summand reconstruction (L2),admin_structure,L2 (document structure) — numeral arithmetic only,RUN_PREREGISTERED,STRUCTURAL_ONLY (L2 positive but sparse; exact where present),closure 0.071 > null 0.049 (real but sparse); masked-summand reconstruction 1.00,VERIFIED
OBS-04,Experiment 4 — document-template completion (notation-type) (L2),admin_structure,L2 (document structure) — notation-type template only,RUN_PREREGISTERED,"STRUCTURAL_ONLY (L2 positive, held-out; site-dependent/single-direction)",M_template 0.508 > position 0.398 > global 0.338 on unseen docs; strong at nonKN,VERIFIED
OBS-05,Experiment 5 — cross-site invariance of the template grammar (STRUCTURAL gate le,admin_structure,L2 (document structure),RUN_PREREGISTERED,STRUCTURAL_ONLY (bidirectional but SITE_DEPENDENT; STRUCTURAL licence NOT_EARNED,SITE_DEPENDENT — template beats target baseline both directions but TVD 0.28 + g,VERIFIED
