designation,site,description,publication,year,pages,translit_printed(yes/no/partial),accessibility(open/paywalled/pending_edition),notes,channel,sources
KKH Zb 1,Kalo Khoraphi,Single sign AB 67 incised after firing under base of conical cup (Rethymnon Mus. inv. P 36184); MM III-LM I context; found 2014 (Tzigounaki),"Tzigounaki & Karnava 2020, in Stampolidis & Giannopoulou (eds) I Eleftherna i Kriti kai o Exo Kosmos (Rethymno conf. 2018)",2020,"319-328 (sign at 321, Fig. 5); rapport p. 98",yes,open,Reading AB 67 printed in rapport; parallels KE Zb 3 and MI Zb 1 cited; ed.pr. in Greek print proceedings,delfreo-rapport,delfreo-rapport
KN Zb 36a-d,Knossos,"Four AB 131a signs on one pithos, Western Magazine IX: GORILA IV KN Zb <36>/<37> renumbered 36a/36b (Firth), plus 36c (Boskamp 1991-92) and 36d (Christakis)","Boskamp 1996 ABSA 91, 101-112; Christakis 2005, 60; Firth 2016 Minos 39, 229-247; rapport pp. 98-99",1996,rapport pp. 98-99,yes,open,"AMBIGUITY: script attribution uncertain — A 131a and Linear B VIN homomorphic; Brice dates pithos LM I, Christakis LM IIIA (could be Linear B); KN Zb <38> identification with Boskamp's third sign uncertain",delfreo-rapport,delfreo-rapport
KN Zg 57,Knossos (Bougada Metochi / Anetaki plot),"Ivory ring, quadrangular section, diam. ~13.7 cm; LA syllabic sequences + logograms incised on four sides; found 2016 (Kanta), neopalatial cult building Room 1 (Herakleion Ephorate D 3460/D 3458)","INEDIT at rapport date; ed.pr. by Kanta, Nakassis, Palaima & Perna in preparation; overview: Kanta et al., KO-RO-NO-WE-SA (Ariadne Suppl. 5) 27-43; Kanta 2019, 250-252 cat. 280",2024,rapport p. 99,no,pending_edition,"Rapport describes but prints NO reading; the Kanta et al. overview article (same OA volume, already in corpus/bronze/kanta_etal_2024_anetaki) is the interim source; check whether ed.pr. has since appeared | [younger-pointer] pub: Kanta 2018 (Crete Emerging Cities exh. cat.), pp. 328, 336 no. 280; text edition announced for Kadmos (2023) per Younger (2018), pp. 328; 336; Younger (Aug 2023): 'Kanta will be publishing the Linear A text in the next Kadmos (2023)' - verify whether that edition has since appeared (post-dates the archived page). | MERGED same-object: Younger's unnumbered 'KN Zh' ivory sceptre (Kanta 2018 exh. cat. no. 280, D. 13.7 cm) identified with KN Zg 57 on cat.-number + dimensions; designation-letter discrepancy (Zg vs Zh) noted, verify when Kanta et al. ed.pr. appears.",delfreo-rapport,delfreo-rapport;younger-pointer
KN Zg 58,Knossos (Bougada Metochi / Anetaki plot),"Ivory bar, quadrangular section, 13.2 cm; LA signs incised on four sides + one end; same 2016 votive deposit as KN Zg 57 (possible sceptre handle)","INEDIT at rapport date; ed.pr. by Kanta, Nakassis, Palaima & Perna in preparation; overview: Kanta et al., KO-RO-NO-WE-SA (Ariadne Suppl. 5) 27-43; Kanta 2019, 250-253",2024,rapport pp. 99-100,no,pending_edition,Rapport prints NO reading; same interim source as KN Zg 57,delfreo-rapport,delfreo-rapport
(unassigned; Kommos vase fragment 2019),Kommos,"Inscribed vase fragment found by a tourist on Kommos parking lot summer 2019, handed to Herakleion Ephorate; 3 lines between guide lines, line 2 = sequence of 3 signs",Unpublished; reported to Del Freo by A. Greco (pers. comm.),,rapport p. 100,no,pending_edition,AMBIGUITY: 'pourrait être en linéaire A' — script attribution unconfirmed; no designation assigned; no reading printed,delfreo-rapport,delfreo-rapport
KH Wc 2123,Khania,Roundel; first sign on recto proposed by Hallager as new sign A 373; Del Freo & Zurbach: variant of the tripod logogram,"Andreadaki-Vlazaki & Hallager 2007, Proc. Danish Inst. Athens 5, 7-22 (13, Fig. 5); discussed in Comite des signes resolutions, same KO-RO-NO-WE-SA volume",2007,rapport p. 100,partial,open,"Sign-identity dispute only, not a new inscription; item predates reporting period (cf. Rapport 2006-2010, 8)",delfreo-rapport,delfreo-rapport
KH Wc 2124,Khania (Katre 1 plot),"Roundel (ME 117) found 2007, 15 impressions of seal KH 13 on rim; recto sign = variant of AB 61 (not AB 54 as previously reported); LM IB by seal-link dating","Andreadaki-Vlazaki & Hallager 2018, Kadmos 57, 33-44 (37-39, Fig. 4)",2018,rapport pp. 100-101,yes,open,"Corrected sign-reading printed in rapport; ed.pr. Kadmos 57 is paywalled (De Gruyter); footnote 76: {KH Wc 1025} to be renumbered {KH Wc 2125}, possible anepigraphic roundel {Wc 2126}",delfreo-rapport,delfreo-rapport
KH 102,Khania (Plateia Haghia Aikaterini),"Tablet fragment (GSDE 10-TC 011), 2010 excavation, LM IIIB1 destruction layer (mixed); recto AB 08-73[ or AB 08-65[","Andreadaki-Vlazaki & Hallager 2018, Kadmos 57, 33-44 (33-34, Fig. 1)",2018,rapport p. 101,yes,open,Reading printed in rapport (both alternatives); ed.pr. Kadmos 57 paywalled,delfreo-rapport,delfreo-rapport
KH 104,Khania (Parodos Kanevaro),"Tablet fragment (GSDE 14-TC 008), 2014 excavation, Geometric deposit with sporadic LM IB; fractional quantities (A 707) of grain (AB 120) after syllabic sequences incl. AB 01-27","Andreadaki-Vlazaki & Hallager 2018, Kadmos 57, 33-44 (34-36, Fig. 2)",2018,rapport p. 101,partial,open,Partial reading printed; rapport (Del Freo & Zurbach autopsy) REJECTS Hallager's proposed new ligature AB 120+26 on line .2; ed.pr. Kadmos 57 paywalled,delfreo-rapport,delfreo-rapport
KH 105,Khania (Parodos Kanevaro),"Small tablet fragment (GSDE 14-TC 038), 2014 excavation, sealed LM IIIB2 deposit; lower-left corner; AB 45-67-37[","Andreadaki-Vlazaki & Hallager 2018, Kadmos 57, 33-44 (36-37, Fig. 3)",2018,rapport p. 102,yes,open,"Reading (editors' proposal, partly fragmentary) printed in rapport; ed.pr. Kadmos 57 paywalled",delfreo-rapport,delfreo-rapport
KH Zc 106 (?),Khania (Plateia Haghia Aikaterini),"Fragmentary miniature painted cup (74-P 0206), found 1974, LM IIIA1 context (7/8-Pit A), probably Knossian; possible painted LA inscription in two registers: AB 73-60-61-[ (upper), AB 55-[.]-70-55-[ (lower, uncertain)","Hallager 2016, in Hallager & Hallager (eds) GSE Excavations V (Skrifter Svenska Inst. Athen 47.5), 290-293, Fig. 81",2016,rapport pp. 102-103,yes,open,AMBIGUITY: LA attribution itself uncertain (rapport urges prudence); alternatives AB 37/AB 17 for two signs; possibly sinistroverse (parallel PO Zg 1); ed.pr. in print monograph (Swedish Institute),delfreo-rapport,delfreo-rapport
PK Zb 25,Palaikastro,Re-reading proposal for known inscribed handle: Hopkins AB 73-01-51 (hapax) vs ed.pr. Schoep & Driessen AB 73-01-60 (hapax); rapport finds new reading no better,"Hopkins 2018, Kadmos 57, 15-20 (18-20); ed.pr. Schoep & Driessen 2002-2003, Minos 37-38, 77-80",2018,rapport p. 103,yes,open,"Reading dispute only, item already in corpus; both alternatives printed in rapport; Kadmos paywalled, Minos 37-38 older OA-ish journal",delfreo-rapport,delfreo-rapport
PK Za 27,Palaikastro (Petsophas),Fragmentary inscribed libation table found near the peak sanctuary (announced in Rapport 2011-2015),"Knappett, Del Freo & Zurbach 2017, SMEA NS 3, 73-82, Fig. 1",2017,rapport p. 103,no,paywalled,"Rapport only records publication, prints no reading here; SMEA NS 3 (Quasar) not OA — transliteration lives in the ed.pr.; GAP unless SMEA article acquired",delfreo-rapport,delfreo-rapport
PK Za 28,Palaikastro (Petsophas),"Fragment of inscribed libation table, surface find June 2016 near peak sanctuary; 13th of its type from Petsophas; ]-AB 29-27 | .[ — probably final part of the libation-formula sequence as on PK Za 8a / PK Za 15","Del Freo, Zurbach & Knappett 2022, in Driessen & Knappett (eds) Megistos Kouros (Aegis 23), 128-131",2022,rapport p. 103,yes,open,Reading printed in rapport; Aegis series (PUL) is generally OA PDF — unverified for this volume; sign after divider fragmentary,delfreo-rapport,delfreo-rapport
PE 6,Petras,"Tablet fragment previously PE <6> (lost/unlocated), relocated 2017 in Siteia Museum storerooms by Del Freo & Zurbach; reclassified PE <6> -> PE 6","Status note in rapport (cf. Rapport 2011-2015, 13); GORILA for the text",2024,rapport p. 103,no,open,"Bookkeeping change only (brackets removed); no new reading printed; affects designation normalization in inventory | [younger-pointer] pub: Hallager, 'Literacy at Petras and Three Hitherto Unpublished Linear A Inscriptions', in Tsipopoulou (ed.), Petras Siteia - 25 Years (Monographs of the Danish Institute at Athens 16, 2012) 267-269, fig. 3; Del Freo & Zurbach 2011 p. 91 (2012), pp. 267-269; Danish Institute monographs are largely OA PDFs (best assessment; else paywalled print). Other PE items (PE 1-2, Ws, Wy 5, Zb 3/7/8, Zc 4, Zg 5/6) already in inventory.; translit_printed=yes per that source | [sigla] pub: SigLA database entry (2026); ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.; translit_printed=partial per that source",delfreo-rapport,delfreo-rapport;younger-pointer;sigla
(unassigned; Phaistos Hagia Photini fragment),Phaistos (Hagia Photini),"Vase fragment (inv. SAIA F8308) found 2017, Italian mission excavation; two 2-sign sequences incised after firing (wall + lip); vase form suggests protopalatial; signs possibly LA, difficult",Unpublished; publication assigned to A. Greco,,rapport pp. 103-104,no,pending_edition,"AMBIGUITY: 'seraient rapportables au lineaire A' per Greco; no designation, no reading printed; check for Greco publication after 2021",delfreo-rapport,delfreo-rapport
(unassigned; Phaistos Chalara fragment),Phaistos (Chalara),"Vase fragment with signs incised after firing, found 2017 in stratigraphic sounding, archaic pit (ceramic date LM III, Greco prefers neopalatial by the inscription); Greco reads AB 39-58 A301+A303 (alt. AB 21f+A303); Godart: AB 21f 20 (or 30) = ostracon with commodity annotation","Greco 2022, Pasiphae 16, 153-166",2022,rapport p. 104,yes,open,Candidate readings printed in rapport with detailed doubts (AB 39 shape anomalous; proposed ligatures unattested); ed.pr. Pasiphae 16 (Serra) paywalled; no GORILA-style designation given,delfreo-rapport,delfreo-rapport
(Zominthos libation table),Zominthos,"Stone stepped-pyramid libation table, found 2013 (Sapouna-Sakellaraki), Central Building Room 53, MM III-LM I; 14 incised signs, some resembling AB 04/77/02/44/28/86","Sapouna-Sakellaraki 2015 (Prakt), 282-283, Fig. 15, Pl. 167; cf. Rapport 2011-2015, 15",2015,rapport pp. 104-105,partial,open,"NEGATIVE VERDICT: rapport judges an LA inscription 'tres improbable' — signs likely masons' marks (matches Hood 2020 types); candidate sign IDs printed; EXCLUDE from LA corpus unless overturned | [younger-pointer] pub: unpublished; news reports only (To Vima 11 Aug 2013; News Network Archaeology 15 Aug 2013) (2013); AMBIGUOUS vs inventory: inventory contains ZO1 (Zominthos, 2 parsed signs) - possibly the same object under a different id; verify before counting as a gap. Inscription itself unpublished as of Younger's last update.; translit_printed=no per that source; accessibility=pending_edition per that source | MERGED same-object: Younger's ZO Za 1 (3-tier libation table, 2013 news reports) = this find; rapport's masons'-marks verdict vs Younger's LA listing is an open dispute; inventory item ZO1 possibly the same object — verify before counting as a gap OR as a removal.",delfreo-rapport,delfreo-rapport;younger-pointer
THE Zb 14,Thera (Akrotiri),Graffito on lamp (EfA inv. V 15); findspot between Xeste 2 and Complex Delta or Sector Beta; possible reading AB 09-A332 2 (doubts persist),"Tzachili & Karnava 2016, Minos 39, 27-40",2016,rapport pp. 105-106,yes,open,"NUMBERING AMBIGUITY: editors number it Zb 15, rapport argues for Zb 14 (per Rapport 2001-2005, 210 vs Rapport 2006-2010); normalize carefully; Minos is OA on journal site (unverified)",delfreo-rapport,delfreo-rapport
