label,level,transfer_class,rationale
HUMAN_OR_INSTITUTION,coarse,TRANSFER_ELIGIBLE,"structurally inducible (position, logogram/numeral adjacency); representable in LA"
PLACE,coarse,TRANSFER_ELIGIBLE,"toponym slots inducible from recurrence + destination structure"
COMMODITY_OR_CATEGORY,coarse,STRUCTURAL_CONTROL,"largely logograms — trivial positive control, must not dominate gate"
MEASURE_OR_QUANTITY,coarse,STRUCTURAL_CONTROL,"numerals/fractions/measures — trivial notation control"
TRANSACTION_OR_OPERATOR,coarse,TRANSFER_ELIGIBLE,"if structurally distinguishable; likely sparse"
QUALIFIER,coarse,TRANSFER_ELIGIBLE,"adjacency/qualifies relation"
DOCUMENT_STRUCTURE,coarse,STRUCTURAL_CONTROL,"headers/totals — notation control"
UNKNOWN,coarse,EXCLUDED_FROM_TRANSFER_GATE,"residual"
PERSON,fine,LB_ONLY_DIAGNOSTIC,"identifying PERSON vs INSTITUTION leans on Greek onomastics — diagnostic only"
TITLE_OR_OFFICE,fine,LB_ONLY_DIAGNOSTIC,"needs lexical knowledge; keep out of transfer gate"
TOPONYM,fine,TRANSFER_ELIGIBLE,"structural (recurrence, destination); LA-representable"
ETHNIC_OR_TOPONYMIC_ADJECTIVE,fine,LB_ONLY_DIAGNOSTIC,"morphology-dependent (Greek -jo/-ja) — LB-only"
DESTINATION_OR_ORIGIN,entry_relation,TRANSFER_ELIGIBLE,"positional/structural"
COMMODITY,fine,STRUCTURAL_CONTROL,"logogram-bound"
MEASURE_OR_UNIT,fine,STRUCTURAL_CONTROL,"metrogram-bound"
QUANTITY,fine,STRUCTURAL_CONTROL,"numeral-bound"
TOTAL_OR_SUBTOTAL,fine,STRUCTURAL_CONTROL,"to-so/totalling structure"
HEADER_OR_SECTION_LABEL,fine,TRANSFER_ELIGIBLE,"positional (document-initial)"
FORMULA_OR_BOILERPLATE,fine,TRANSFER_ELIGIBLE,"formula-cluster membership"
