# AUDITED (derived from ledger fields): status terminality; presence of a terminal verdict; presence of at least one fielded control/null-design field (positive_control / negative_control / adversarial_control / synthetic_control / null_design). NOT AUDITED by this table: scientific adequacy of nulls, holdout usage, or verdict correctness — those are audited per-epoch in VERIFICATION_AUDIT.md and each ledger entry's orchestrator_verification field.
epoch_id,status,terminal,has_verdict,has_control_field,scientific_completeness,required_action
EPOCH-001,BANKED(implicit),yes,yes,no (pre-field-schema),LEGACY_SCHEMA_OK,none
EPOCH-002,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-003,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-004,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-005,BANKED(implicit),yes,yes,no (pre-field-schema),LEGACY_SCHEMA_OK,none
EPOCH-006,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-007,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-008,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-009,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-010,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-011,BANKED(implicit),yes,yes,no (pre-field-schema),LEGACY_SCHEMA_OK,none
EPOCH-012,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-013,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-014,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-015,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-016,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-017,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-018,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-019,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-020,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-021,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-022,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-023,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-024,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-025,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-026,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-027,BANKED(implicit),yes,yes,yes,COMPLETE,none
EPOCH-028,BANKED(implicit),yes,yes,yes,COMPLETE,none
