method_id,canonical_name,primary_metric_value,power,verdict,classification_hint
ADMIN-01,Prior-art / novelty audit (blinded cross-script admin schema induction),"0/20 works satisfy full conjunction (REPORT_ONLY, prior_art_register.csv has 20 rows)",NOT_APPLICABLE,NOVELTY_SUPPORTED (combinatorial); 0/20 works satisfy the defining conjunction,REPORT_ONLY
ADMIN-02,Source / licence audit + de-phoneticisation blinding design,NOT_APPLICABLE,NOT_APPLICABLE,No licensing/repro blocker; blinding = map each syllabogram to opaque graphic si,REPORT_ONLY
ADMIN-03,"Canonical de-phoneticised transferable document graph (LB + LA), Stage 4 / 4.1 /","LA channels recovered (VERIFIED_FROM_ARTIFACT stage4_2 manifest): NUMERAL 1276, ROW 3435, ENTRY 3738, WORD_FORM 3147, SIGN 5792, LOGOGRAM 654, FRACTION 311, MEASURE_MARKER 52; 1056 'other' -> 91% reso",NOT_APPLICABLE,Frozen graphs; determinism + no-semantic-fields + feature-transferability tests ,REPORT_ONLY
ADMIN-04,Blind formula-cluster induction (document grouping),"9,432 SAME_FORMULA_CLUSTER edges (VERIFIED_FROM_ARTIFACT)",NOT_APPLICABLE,"GROUPING_ONLY; SAME_FORMULA_CLUSTER edges = 9,432 (VERIFIED_FROM_ARTIFACT manife",REPORT_ONLY
ADMIN-05,LB role ontology freeze (8 coarse / 17 fine classes),QC gate: Krippendorff alpha >= 0.80 primary / 0.67-0.80 provisional (frozen threshold),NOT_APPLICABLE,FROZEN (ontology hash 781902c0),REPORT_ONLY
ADMIN-06,"Automated annotation feasibility pilot (Stage 5.1, model-based double annotation",Krippendorff alpha=0.614 (raw 0.725); GOLD_A agreed yield 5.6% (9/160); nontrivial GOLD_A agreed=4 (KN 0/nonKN 4/hapax 1); est unseen-form GOLD_A ~39 units; est nonKN GOLD_A ~140 units (all VERIFIED_F,"min detectable K=16 at p=0.40 vs 1/8 null, 80% power; unseen",NO_POWER (alpha 0.614 < 0.667 primary-gold threshold),REPORT_ONLY
ADMIN-07,Human-expert annotation package (blinded double annotation) — gate BLOCKED,NONE COMPUTED (blocked); gate = frozen 0.80/0.667 alpha (to be applied only after two genuine submissions),would test whether real humans clear the bar on securely-cla,BLOCKED / UNTESTED — validate/compare/adjudicate tools REFUSE without genuine su,REPORT_ONLY
NOHUM-01,Source-label dependency audit (DAG) — shared-decipherment ruling,content-role labels all in ONE SHARED_DECIPHERMENT cluster (93 forms) (VERIFIED_FROM_ARTIFACT source_labels_summary.json dependency_clusters),forecasts a thin non-trivial SILVER_A pool (a NO_POWER route,All content-role sources descend from same primary editions + the single 1952 de,REPORT_ONLY
NOHUM-02,Deterministic source-derived label corpus (Stage 3),"66 REFERENCE_GOLD_A (PLACE 43 / HUMAN_OR_INSTITUTION 23); 2 of 4 load-bearing classes absent (OPERATOR_OR_RELATION, QUALIFIER) (VERIFIED_FROM_ARTIFACT)","forecasts NO_POWER (thin non-trivial pool, 2 classes missing",66 non-trivial REFERENCE_GOLD_A; only 2 of 4 load-bearing classes present (OPERA,REPORT_ONLY
NOHUM-03,"Weak-supervision labeling functions (13 LFs, WS0-4) + circularity audit",coverage 0.7081; conflict 0.0441; abstain 0.2919; edition-independent structural precision 0.026 (report/power_gate); index-LF precision on gold 1.0 = circular (VERIFIED_FROM_ARTIFACT weak_supervision,structural signal 0.026 << majority baseline 0.652 -> no usa,coverage 0.71 / abstain 0.29 / conflict 0.044; index-LF precision on gold=1.0 CI,REPORT_ONLY
NOHUM-04,Pre-Stage-5 power gate -> NO_POWER_BEFORE_MODELING (route closure),est O2+D8 model accuracy 0.291 << min-detectable 0.92 at n=19 -> power_at_est_O2_D8 = 0.0; 2 load-bearing classes absent (VERIFIED_FROM_ARTIFACT power_gate.json),0.0 (definitive underpower); a larger model cannot repair a ,NO_POWER_BEFORE_MODELING,REPORT_ONLY
OBS-01,Experiment 1 — masked logogram (commodity channel) recovery from opaque word con,M_sign 0.182 vs freq 0.175 / series 0.63 / null 0.144; M_struct 0.186; cross-site KN->nonKN M_sign 0.073 vs baseline 0.115 (NEGATIVE transfer) (VERIFIED_FROM_ARTIFACT masked_logogram.json),well-powered (457 A12 units; fixed the label-route underpowe,"NEGATIVE — word-context does NOT beat series shortcut, transfers negatively cros",REPORT_ONLY
OBS-02,Experiment 2 — masked quantity/accounting channel recovery (presence + magnitude,Presence: M_sign 0.651 < majority 0.680 / series 0.688 / null 0.611; M_struct 0.709; cross-site 0.579 vs 0.557. Magnitude: M_sign 0.637 < null 0.665; series 0.702; cross-site 0.69 vs 0.753 (negative) ,"well-powered (1,593 A12 units, balanced)",per-channel NEGATIVE: M_sign below majority on presence and below null on magnit,REPORT_ONLY
OBS-03,Experiment 3 — accounting-closure structure + masked-summand reconstruction (L2),closure exact 0.071 vs null 0.049; tol1 0.214 vs 0.143; KN 0.111 / nonKN 0.052; masked-summand reconstruction 1.000 vs 0.200 (n=25) (VERIFIED_FROM_ARTIFACT accounting_closure.json),closure concentrated at KN (formal totals); minority of docu,closure 0.071 > null 0.049 (real but sparse); masked-summand reconstruction 1.00,REPORT_ONLY
OBS-04,Experiment 4 — document-template completion (notation-type) (L2),"M_template 0.508 vs position 0.398 / global 0.338 (n=1324); KN 0.407 (< 0.443 base); nonKN 0.633 (vs 0.342 base, +0.29) (VERIFIED_FROM_ARTIFACT template_completion.json)","held-out unseen docs, real signal",M_template 0.508 > position 0.398 > global 0.338 on unseen docs; strong at nonKN,REPORT_ONLY
