experiment_dir,authoritative_worktree,path,ext,bytes
linear_a_campaign,main,experiments/linear_a_campaign/identifiability_metrics.py,py,4524
linear_a_campaign,main,experiments/linear_a_campaign/CAMPAIGN.md,md,7662
linear_a_campaign,main,experiments/linear_a_campaign/kuro_reconciliation.py,py,5206
linear_a_campaign,main,experiments/linear_a_campaign/kuro_reconciliation.json,json,1100
linear_a_campaign,main,experiments/linear_a_campaign/IDENTIFIABILITY_SYNTHESIS.md,md,6783
linear_a_campaign,main,experiments/linear_a_campaign/identifiability_metrics.json,json,1315
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/DECISION_LOG.md,md,3830
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/STATUS.md,md,2051
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/d4_accounting_closure.py,py,6460
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/CAMPAIGN.md,md,4939
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/LICENCE_STATE.json,json,276
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/SOURCE_REGISTER.csv,csv,1047
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/SEARCH_RECEIPT.json,json,498
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/ASSUMPTION_REGISTER.json,json,1237
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/INFORMATION_BUDGET.json,json,845
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/scripts/stage_d5_cross_site_support_invariance.py,py,8233
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/scripts/stage_b_clean_representation.py,py,5352
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/scripts/stage_hj_agnostic_null.py,py,4753
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/scripts/stage_a_reopening_audit.py,py,7480
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/reports/A_IDENTIFIABILITY_REOPENING_AUDIT.md,md,3575
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/reports/C_SOURCE_DISCOVERY_AUDIT.md,md,3024
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/reports/EF_KNOWN_SCRIPT_AND_ANCHORS.md,md,2849
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/reports/B_CORPUS_FORENSICS.md,md,3583
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/reports/KL_UNLOCK_AND_FINAL_VERDICT.md,md,4366
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/reports/D_CONSTRAINT_MINING.md,md,3680
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/CHECKPOINTS/CHECKPOINT_1_AB.md,md,1793
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/CHECKPOINTS/CHECKPOINT_3_EL.md,md,1691
linear_a_constraint_expansion,constraint-expansion,experiments/linear_a_constraint_expansion/CHECKPOINTS/CHECKPOINT_2_CD.md,md,2020
