sign_id,ab_number,la_attestations,damos_attestations,cog_attestations,conventional_value,value_source,homomorphy_grade,cypriot_stable,value_space,maskable,robust_anchor,source_status,citations,disagreement_notes
A,B008,195,1423,145,a,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
AU,B085,8,44,3,au,data.py bridge convention,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"scripts/cross_script/data.py bridge: GORILA romanization == Unicode LB syllable value (Unicode chart cross-check); NOT in the litindex seed — needs citation before graduating to seed status || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
DA,B001,134,699,45,da,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
DE,B045,35,569,43,de,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
DI,B007,109,255,35,di,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
DU,B051,77,129,14,du,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
E,B038,31,1683,143,e,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
I,B028,166,751,59,i,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
JA,B057,165,1342,122,ja,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
JE,B046,16,203,21,je,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
JU,B065,35,0,0,ju,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,False,False,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
KA,B077,132,980,82,ka,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
KE,B044,16,1355,97,ke,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
KI,B067,125,499,36,ki,litindex:lb_value_transfer,pending_primary,pending_primary,unicode_lb_syllabary_74,True,True,secondary,"GORILA (Godart & Olivier 1976-1985); LB values after Ventris 1953 [litindex.py lb_value_transfer seed] || homomorphy: Salgarella 2020, Aegean Linear Script(s) (CUP) — ABSENT from repo (paywalled, operator-supplies; docs/related/_acquisition.md) || cypriot: Steele & Meissner 2017, 'Linear A and Linear B: structural and contextual concerns', in Understanding Relations Between Scripts (Oxbow), 93-110 — ABSENT from repo (all-rights-reserved, not acquired; docs/related/_acquisition.md)",
