method_id,method,campaign,claim_layer,held_out,null,outcome,verdict,power,licence
ADMIN-01,Prior-art / novelty audit (blinded cross-script admin schema,admin_structure,NOT_APPLICABLE (,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOVELTY_SUPPORTED (combinatorial); 0/20 works sati,NOT_APPLICABLE,NONE (methodology audit)
ADMIN-02,Source / licence audit + de-phoneticisation blinding design,admin_structure,NOT_APPLICABLE (,NOT_APPLICABLE (design only),NOT_APPLICABLE,NOT_APPLICABLE,No licensing/repro blocker; blinding = map each sy,NOT_APPLICABLE,NONE
ADMIN-03,Canonical de-phoneticised transferable document graph (LB + ,admin_structure,L2 (document str,NOT_APPLICABLE (representation),NOT_APPLICABLE,NOT_APPLICABLE (infrastructure; no score,Frozen graphs; determinism + no-semantic-fields + ,NOT_APPLICABLE,NONE
ADMIN-04,Blind formula-cluster induction (document grouping),admin_structure,L2 (document str,clusters used to prevent train/test leak,NOT_APPLICABLE,"NOT_APPLICABLE (grouping utility, no sco","GROUPING_ONLY; SAME_FORMULA_CLUSTER edges = 9,432 ",NOT_APPLICABLE,NONE
ADMIN-05,LB role ontology freeze (8 coarse / 17 fine classes),admin_structure,L4 (functional r,grouping/leakage rules frozen (grouping_,NOT_APPLICABLE,NOT_APPLICABLE,FROZEN (ontology hash 781902c0),NOT_APPLICABLE,NONE
ADMIN-06,"Automated annotation feasibility pilot (Stage 5.1, model-bas",admin_structure,L4 (functional r,SITE_TEST_A (train nonKN->test KN); SITE,power simulation vs 1/8 null (moot — alp,NO_POWER,NO_POWER (alpha 0.614 < 0.667 primary-gold thresho,min detectable K=16 at p,NONE
ADMIN-07,Human-expert annotation package (blinded double annotation) ,admin_structure,L4 (functional r,cluster exclusion policy; holdout not ye,NOT_APPLICABLE (not run),INCOMPLETE,BLOCKED / UNTESTED — validate/compare/adjudicate t,would test whether real ,NONE
NOHUM-01,Source-label dependency audit (DAG) — shared-decipherment ru,admin_structure,NOT_APPLICABLE (,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE (structural ruling),All content-role sources descend from same primary,forecasts a thin non-tri,NONE
NOHUM-02,Deterministic source-derived label corpus (Stage 3),admin_structure,L4 (functional r,structural labels excluded from load-bea,NOT_APPLICABLE,NOT_APPLICABLE (corpus build; feasibilit,66 non-trivial REFERENCE_GOLD_A; only 2 of 4 load-,forecasts NO_POWER (thin,NONE
NOHUM-03,"Weak-supervision labeling functions (13 LFs, WS0-4) + circul",admin_structure,L4 (functional r,NOT_APPLICABLE (no held-out model yet),NOT_APPLICABLE (feasibility metrics),NULL (edition-independent structural sig,coverage 0.71 / abstain 0.29 / conflict 0.044; ind,structural signal 0.026 ,NONE
NOHUM-04,Pre-Stage-5 power gate -> NO_POWER_BEFORE_MODELING (route cl,admin_structure,L4 (functional r,grouped sealed set (19 units) proposed b,NOT_APPLICABLE (gate stops before nulls),NO_POWER,NO_POWER_BEFORE_MODELING,0.0 (definitive underpow,NONE
OBS-01,Experiment 1 — masked logogram (commodity channel) recovery ,admin_structure,L3 (functional w,hold out complete lexical + morphologica,label-shuffle null (1 family),REFUTED (per-channel NEGATIVE for word-c,NEGATIVE — word-context does NOT beat series short,well-powered (457 A12 un,NONE (FUNCTIONAL NOT_EAR
OBS-02,Experiment 2 — masked quantity/accounting channel recovery (,admin_structure,L3 (functional w,A12 unseen-family; cross-site KN->nonKN ,"label-shuffle null (1 family, both targe",REFUTED (TRIVIAL_RECOVERY for functional,per-channel NEGATIVE: M_sign below majority on pre,"well-powered (1,593 A12 ",NONE (FUNCTIONAL NOT_EAR
OBS-03,Experiment 3 — accounting-closure structure + masked-summand,admin_structure,L2 (document str,held out by document,"value-permutation null (1 family, 2 tole",STRUCTURAL_ONLY (L2 positive but sparse;,closure 0.071 > null 0.049 (real but sparse); mask,closure concentrated at ,NONE (L2 known layer; ea
OBS-04,Experiment 4 — document-template completion (notation-type) ,admin_structure,L2 (document str,unseen documents; cross-site KN vs nonKN,NOT_RECORDED (baseline-relative),"STRUCTURAL_ONLY (L2 positive, held-out; ",M_template 0.508 > position 0.398 > global 0.338 o,"held-out unseen docs, re",NONE (L2 = already-known
OBS-05,Experiment 5 — cross-site invariance of the template grammar,admin_structure,L2 (document str,train KN->test nonKN and reverse,site-shuffle null (1 family),STRUCTURAL_ONLY (bidirectional but SITE_,SITE_DEPENDENT — template beats target baseline bo,adequate (thousands of e,NONE (fails 'no site dep
OBS-06,Experiment 6 — pseudo-script O2 (sign permutation) + D8 (LA-,admin_structure,L2 (document str,degradation matched to LA coverage,closure null per D8 level (4),STRUCTURAL_ONLY (template O2-robust but ,O2: template 0.497 = 0.497 (identical -> carries N,LA density comparable to,NONE (STRUCTURAL_TRANSFE
OBS-07,Mechanical gate synthesis — OBSERVABLE_CHANNEL_READY = NO,admin_structure,L3 functional (p,aggregates A12 + cross-site + O2+D8 from,aggregated from constituents,REFUTED (L3) + NO_POWER/NOT_EARNED (L2 s,OBSERVABLE_CHANNEL_READY = NO; FUNCTIONAL_TRANSFER,well-powered negative (n,NONE (SEMANTIC+ NOT_AUTH
CE-A-identifiability-recount,Stage A identifiability reopening audit (syllabary parameter,constraint_expansion,meta (audit of L,NOT_APPLICABLE (counting audit); flags t,NOT_APPLICABLE (no null model; reference,NULL,A_REOPENED — prior 259>212 INVALIDATED as category,NOT_APPLICABLE,none (favourable structu
CE-B2-sign-allography-recount,Stage B2 sign/allography inventory forensics,constraint_expansion,L0-L1 (physical/,NOT_APPLICABLE,NOT_APPLICABLE,STRUCTURAL_ONLY,Confirms syllabary=92 (259 = 108 ligatures + 13 da,NOT_APPLICABLE,none
CE-B1-sigla-cross-edition-independence,Stage B1 SigLA cross-edition independence check (AB-class co,constraint_expansion,"L1 (sign-id), be",NOT_APPLICABLE (dependency audit),NOT_APPLICABLE,STRUCTURAL_ONLY,SigLA = second digitization of same GORILA edition,NOT_APPLICABLE,none — discounts the (al
CE-B4-joins-effective-n,Stage B4 joins/duplicates effective_n recomputation,constraint_expansion,L0 (physical/eff,NOT_APPLICABLE,NOT_APPLICABLE,STRUCTURAL_ONLY,Raw 1341 overstates independence -> 1242 physical ,NOT_APPLICABLE,none
CE-B5-notation-typing,Stage B5 notation-channel typing + cleaned phonetic wordform,constraint_expansion,L1-L2 (sign-id/s,NOT_APPLICABLE,NOT_APPLICABLE,STRUCTURAL_ONLY,26% of the word channel was non-phonetic contamina,NOT_APPLICABLE,none
CE-B6-support-invariance-axis,Stage B6 context/support invariance-axis recovery,constraint_expansion,L0-L2 (metadata/,identifies 'survives-medium-removal' as ,NOT_APPLICABLE,STRUCTURAL_ONLY,"'context' field mislabelled (holds chronology, not",NOT_APPLICABLE,none
CE-C-source-discovery,Stage C new-source & evidence discovery audit,constraint_expansion,L0 (evidence inv,KO-RO-NO-WE-SA registered as +1 held-out,NOT_APPLICABLE,STRUCTURAL_ONLY,C_NEW_INFORMATION_FOUND but none value-informative,NOT_APPLICABLE,none
