source_file,doc_id,site,support,locus,seq,context_word,logogram,integer,fraction_seq,uncertain,restored,damaged,is_kuro,parser
HTtexts,KN Wb 33,Knossos,wb,.1-2,0,QE-RA2-U KI-RO,,197,,0,0,0,0,C
HTtexts,KN Wb 33,Knossos,wb,.2,1,ZU-SU,,70,,0,0,0,0,C
HTtexts,KN Wb 33,Knossos,wb,.2-3,2,DI-DI-ZA-KE,,52,,0,0,0,0,C
HTtexts,KN Wb 33,Knossos,wb,.3-4,3,KU-PA3-NU,,109,,0,0,0,0,C
HTtexts,KN Wb 33,Knossos,wb,.4,4,A-RA-NA-RE,,105,,0,0,0,0,C
HTtexts,HT 95a.4-5,Haghia Triada,tablet,.1,5,A-KA-RU,OLE+U *610,20,,0,1,0,0,C
HTtexts,HT 95a.4-5,Haghia Triada,tablet,.2,6,OLE+A *609,,17,,0,1,0,0,C
HTtexts,HT 95a.4-5,Haghia Triada,tablet,.2,7,OLE+E *613,,3,,0,1,0,0,C
HTtexts,HT 95a.4-5,Haghia Triada,tablet,.3,8,KI-RE-TA-NA,OLE+U *610,54,,0,1,0,0,C
HTtexts,HT 95a.4-5,Haghia Triada,tablet,.4,9,OLE+A *609,,47,,0,1,0,0,C
HTtexts,HT 95a.4-5,Haghia Triada,tablet,.6,10,,,1,,0,0,0,0,C
HTtexts,HT 3,Haghia Triada,tablet,.1,11,MA-DI,,2,,0,1,0,0,C
HTtexts,HT 3,Haghia Triada,tablet,.3,12,,,2,,0,1,0,0,C
HTtexts,HT 3,Haghia Triada,tablet,.3,13,DI,,2,,0,1,0,0,C
HTtexts,HT 3,Haghia Triada,tablet,.4,14,,,4,,0,1,0,0,C
HTtexts,HT 3,Haghia Triada,tablet,.4,15,MU-RU,,1,,0,0,0,0,C
HTtexts,HT 3,Haghia Triada,tablet,.5,16,SI-TU-RA2-RE,,5,,0,1,0,0,C
HTtexts,HT 3,Haghia Triada,tablet,.6,17,KU-PA3-NU,,3,,0,1,0,0,C
HTtexts,HT 3,Haghia Triada,tablet,.7,18,MA-DI,,2,,0,1,0,0,C
HTtexts,HT 4,Haghia Triada,tablet,.2,19,-DU-RI-TE,,2,,0,1,0,0,C
HTtexts,HT 4,Haghia Triada,tablet,.4,20,TA-PI-SI-DI,,2,,0,1,0,0,C
HTtexts,HT 5,Haghia Triada,tablet,.2,21,MA-SI,,30,,0,1,0,0,C
HTtexts,HT 5,Haghia Triada,tablet,.3,22,-WI-DU,,10,,0,1,0,0,C
HTtexts,HT 6,Haghia Triada,tablet,a.1-2,23,DA-TA-RA,TE FIC,15,,0,0,0,0,C
HTtexts,HT 6,Haghia Triada,tablet,a.2-3,24,PI-TA-JA,,24,,0,0,0,0,C
HTtexts,HT 6,Haghia Triada,tablet,a.3,25,JA+RU *538,,,DD,0,0,0,0,C
HTtexts,HT 6,Haghia Triada,tablet,a.3-4,26,MA-*321,,10,,0,0,0,0,C
HTtexts,HT 6,Haghia Triada,tablet,a.4,27,O-RA2-DI-NE,,2,,0,0,0,0,C
HTtexts,HT 6,Haghia Triada,tablet,a.4-5,28,KA-PA-QE,,5,JE,0,0,0,0,C
HTtexts,HT 6,Haghia Triada,tablet,a.6-7,29,QE-PI-TA,,22,JE,0,0,0,0,C
HTtexts,HT 6,Haghia Triada,tablet,a.7,30,FIC,,15,J,0,0,0,0,C
HTtexts,HT 6,Haghia Triada,tablet,b.1-2,31,WA-DU-NI-MI,,3,H,0,0,0,0,C
HTtexts,HT 6,Haghia Triada,tablet,b.2,32,RA-TI-SE,,1,,0,0,0,0,C
HTtexts,HT 6,Haghia Triada,tablet,b.2-3,33,MA-RI-•-I,,3,,0,1,0,0,C
HTtexts,HT 6,Haghia Triada,tablet,b.4,34,DU-DA-MA,,66,,0,0,0,0,C
HTtexts,HT 6,Haghia Triada,tablet,b.5,35,DA-KI,,3,E,0,0,0,0,C
HTtexts,HT 6,Haghia Triada,tablet,b.5-6,36,SA-MA,,35,,0,0,0,0,C
HTtexts,HT 6,Haghia Triada,tablet,b.6,37,PA3-NI-NA,,17,J,0,0,0,0,C
HTtexts,HT 10a.1,Haghia Triada,za,a.2,38,I-RU-JA,,3,,0,0,0,0,C
HTtexts,HT 10a.1,Haghia Triada,za,a.3,39,DU-JA,,4,,0,0,0,0,C
HTtexts,HT 10a.1,Haghia Triada,za,a.4,40,TA-NA-TI,,1,,0,0,0,0,C
HTtexts,HT 10a.1,Haghia Triada,za,a.4-5,41,DA-RE,,1,,0,0,0,0,C
HTtexts,HT 10a.1,Haghia Triada,za,a.5,42,TE-TU,,1,,0,0,0,0,C
HTtexts,HT 10a.1,Haghia Triada,za,b.1,43,QIf-TU-NE,,1,,0,0,0,0,C
HTtexts,HT 10a.1,Haghia Triada,za,b.2,44,DA-RU-*329,,2,,0,0,0,0,C
HTtexts,HT 8,Haghia Triada,tablet,a.1,45,JE-DI,OLE+KI *618,10,,0,0,0,0,C
HTtexts,HT 8,Haghia Triada,tablet,a.1-2,46,PA3-KA-RA-TI,,1,J,0,0,0,0,C
HTtexts,HT 8,Haghia Triada,tablet,a.2,47,PA,,3,J,0,0,0,0,C
HTtexts,HT 8,Haghia Triada,tablet,a.3,48,TE-*301,,2,,0,0,0,0,C
HTtexts,HT 8,Haghia Triada,tablet,a.3-4,49,QA-*310-I,,,JE,0,0,0,0,C
HTtexts,HT 8,Haghia Triada,tablet,a.4,50,SI-KI-RA,,,E,0,0,0,0,C
HTtexts,HT 8,Haghia Triada,tablet,a.5,51,KI-RE-TA-NA,,,J,0,0,0,0,C
HTtexts,HT 8,Haghia Triada,tablet,b.1,52,SU-PU2,*188,1,,0,0,0,0,C
HTtexts,HT 8,Haghia Triada,tablet,b.3,53,,,5,,0,0,0,0,C
HTtexts,HT 8,Haghia Triada,tablet,b.3,54,PA3,,1,,0,0,0,0,C
HTtexts,HT 8,Haghia Triada,tablet,b.3,55,*188,,2,,0,0,0,0,C
HTtexts,HT 8,Haghia Triada,tablet,b.3-4,56,QA-*310-I,,1,EF,0,0,0,0,C
HTtexts,HT 8,Haghia Triada,tablet,b.4,57,KA-PA,,,J,0,0,0,0,C
HTtexts,HT 8,Haghia Triada,tablet,b.4,58,PA-JA-RE,,1,F,0,0,0,0,C
HTtexts,HT 8,Haghia Triada,tablet,b.5,59,*86+*188 *565,,,J,0,0,0,0,C
HTtexts,HT 8,Haghia Triada,tablet,b.5,60,,,,J,0,0,0,0,C
HTtexts,KH Wc 2058-2062,Khania,wc,a.2,61,PA-DE,,5,JE,0,0,0,0,C
HTtexts,KH Wc 2058-2062,Khania,wc,a.2-3,62,*306-TU,,10,,0,0,0,0,C
HTtexts,KH Wc 2058-2062,Khania,wc,a.3,63,DI-NA-U,,4,,0,0,0,0,C
HTtexts,KH Wc 2058-2062,Khania,wc,a.3-4,64,QE-PU,,2,,0,0,0,0,C
HTtexts,KH Wc 2058-2062,Khania,wc,a.4,65,*324-DI-RA,,2,J,0,0,0,0,C
HTtexts,KH Wc 2058-2062,Khania,wc,a.4-5,66,TA-I-*123,,2,J,0,0,0,0,C
HTtexts,KH Wc 2058-2062,Khania,wc,a.5-6,67,A-RU,,4,E,0,0,0,0,C
HTtexts,KH Wc 2058-2062,Khania,wc,a.6,68,KU-RO,,31,JE,0,0,0,1,C
HTtexts,KH Wc 2058-2062,Khania,wc,b.2,69,PA-DE,,3,,0,0,0,0,C
HTtexts,KH Wc 2058-2062,Khania,wc,b.2-3,70,A-SI,,3,,0,0,0,0,C
HTtexts,KH Wc 2058-2062,Khania,wc,b.3,71,*306-TU,,8,,0,0,0,0,C
HTtexts,KH Wc 2058-2062,Khania,wc,b.3,72,*324-DI-RA,,2,,0,0,0,0,C
HTtexts,KH Wc 2058-2062,Khania,wc,b.4,73,QE-PU,,2,,0,0,0,0,C
HTtexts,KH Wc 2058-2062,Khania,wc,b.4,74,TA-I-*123,,2,,0,0,0,0,C
HTtexts,KH Wc 2058-2062,Khania,wc,b.5,75,DI-NA-U,,4,,0,0,0,0,C
HTtexts,KH Wc 2058-2062,Khania,wc,b.6,76,KU-RO,,24,,0,0,0,1,C
HTtexts,HT 39.1,Haghia Triada,zb,a.1,77,SA-MA,,4,,0,0,0,0,C
HTtexts,HT 39.1,Haghia Triada,zb,a.2,78,DA-RE,,16,J,0,0,0,0,C
HTtexts,HT 39.1,Haghia Triada,zb,a.2-3,79,*301,,6,,0,0,0,0,C
HTtexts,HT 39.1,Haghia Triada,zb,a.3,80,U-*325-ZA,,104,,0,1,0,0,C
HTtexts,HT 39.1,Haghia Triada,zb,a.3-4,81,*305-RU,,2,J,0,0,0,0,C
HTtexts,HT 39.1,Haghia Triada,zb,a.4,82,DA-RI-DA,,8,,0,0,0,0,C
HTtexts,HT 39.1,Haghia Triada,zb,a.4,83,ME-ZA,,3,,0,0,0,0,C
HTtexts,HT 39.1,Haghia Triada,zb,b.1,84,U-TI,,1,,0,0,0,0,C
HTtexts,HT 39.1,Haghia Triada,zb,b.1,85,DA-RE,,2,,0,0,0,0,C
HTtexts,HT 39.1,Haghia Triada,zb,b.1-2,86,TA-RI-NA,,15,,0,0,0,0,C
HTtexts,HT 39.1,Haghia Triada,zb,b.2,87,*312-TA,,6,J,0,0,0,0,C
HTtexts,HT 39.1,Haghia Triada,zb,b.3,88,KA-SA-RU,,6,,0,0,0,0,C
HTtexts,HT 39.1,Haghia Triada,zb,b.4,89,TA-NA-TI,,9,E,0,0,0,0,C
HTtexts,HT 6b.5-6,Haghia Triada,za,a.1-2,90,A-RU-RA-,,3,,0,1,0,0,C
HTtexts,HT 6b.5-6,Haghia Triada,za,a.2,91,KA-RO-NA,,2,,0,0,0,0,C
HTtexts,HT 6b.5-6,Haghia Triada,za,a.3,92,*322-RI,,1,,0,0,0,0,C
HTtexts,HT 6b.5-6,Haghia Triada,za,a.3,93,KU-RO,,10,,0,0,0,1,C
HTtexts,HT 6b.5-6,Haghia Triada,za,a.3-4,94,A-SU-JA,,1,,0,0,0,0,C
HTtexts,HT 6b.5-6,Haghia Triada,za,a.4,95,VIR-I,,3,,0,0,0,0,C
HTtexts,HT 6b.5-6,Haghia Triada,za,a.5,96,TA2,,15,,0,0,0,0,C
HTtexts,HT 6b.5-6,Haghia Triada,za,b.2,97,*86 KA,,40,,0,0,0,0,C
HTtexts,HT 6b.5-6,Haghia Triada,za,b.2,98,KA,,30,,0,0,0,0,C
HTtexts,HT 6b.5-6,Haghia Triada,za,b.3,99,KA,,50,,0,0,0,0,C
HTtexts,HT 6b.5-6,Haghia Triada,za,b.3-4,100,RU-ZU-NA,KA,30,,0,0,0,0,C
HTtexts,HT 6b.5-6,Haghia Triada,za,b.4-5,101,SA-QE-RI,KA,30,,0,0,0,0,C
HTtexts,HT 6b.5-6,Haghia Triada,za,b.5-6,102,KU-RO,,180,,0,0,0,1,C
HTtexts,HT 12,Haghia Triada,tablet,.1-2,103,QA-TI-DA-TE,OLE+DI *608,5,,0,0,0,0,C
HTtexts,HT 12,Haghia Triada,tablet,.2,104,*304,,5,,0,0,0,0,C
HTtexts,HT 12,Haghia Triada,tablet,.3,105,QE-TU-NE,QA++PU *510,1,,1,1,0,0,C
HTtexts,HT 12,Haghia Triada,tablet,.4,106,,,30,E,0,0,0,0,C
HTtexts,HT 12,Haghia Triada,tablet,.4-5,107,MA+RU *559 *118 Talent,,5,,0,0,0,0,C
HTtexts,HT 12,Haghia Triada,tablet,.5,108,*303+E *626,,3,,0,0,0,0,C
HTtexts,HT 12,Haghia Triada,tablet,.5,109,FIC,,1,,0,0,0,0,C
HTtexts,HT 12,Haghia Triada,tablet,.6,110,QA++PU+RE *511,,,K,1,1,0,0,C
HTtexts,HT 12,Haghia Triada,tablet,.6,111,DA-I,,50,,0,0,0,0,C
HTtexts,HT 13,Haghia Triada,tablet,.2,112,RE-ZA,,5,J,0,1,0,0,C
HTtexts,HT 13,Haghia Triada,tablet,.3,113,TE-TU,,56,,0,0,0,0,C
HTtexts,HT 13,Haghia Triada,tablet,.3-4,114,TE-KI,,27,J,0,0,0,0,C
HTtexts,HT 13,Haghia Triada,tablet,.4,115,KU-ZU-NI,,18,,0,0,0,0,C
HTtexts,HT 13,Haghia Triada,tablet,.5,116,DA-SI-*118,,19,,0,0,0,0,C
HTtexts,HT 13,Haghia Triada,tablet,.5-6,117,I-DU-NE-SI,,5,,0,0,0,0,C
HTtexts,HT 13,Haghia Triada,tablet,.7,118,KU-RO,,130,J,0,0,0,1,C
HTtexts,HT 14,Haghia Triada,tablet,.1-2,119,PU-VINa,TE GRA OLE+MI *622 OLE+DI *608 *304 OLIV,3033913,,0,0,0,0,C
HTtexts,HT 14,Haghia Triada,tablet,.3-5,120,A-PU2-NA-DU,GRA OLE+MI *622 OLE+DI *608 *304 OLIV,4554614,,0,0,0,0,C
HTtexts,HT 15,Haghia Triada,tablet,.1-2,121,DU-*123-A,,684,,0,0,0,0,C
HTtexts,HT 15,Haghia Triada,tablet,.2-3,122,GRA+L3L3 *586,,570,,0,0,0,0,C
HTtexts,HT 15,Haghia Triada,tablet,.4,123,*188 KI-RO,,400,,0,0,0,0,C
HTtexts,HT 16,Haghia Triada,tablet,.1-2,124,KA-KU-PA DI-NA-U,,,F,0,0,0,0,C
HTtexts,HT 16,Haghia Triada,tablet,.2-3,125,WA,,,B,0,0,0,0,C
