experiment,prior_instance,prior_data_source,prior_representation,prior_algorithm,prior_null,prior_evidential_channel,prior_outcome,proposed_classification,material_difference
E201,"LIN-14 falsification instruments: PC-18-gate-null-calibration, PC-07-linb-morphology-control, PC-13-lfake-canary, PC-20-ugaritic-hebrew-heuristic, DIMINO-PC-CONTROLS (inventory data/METHOD_INSTANCES.csv; reports/LINEAR_A_METHODS_LINEAGE_MAP.md LIN-14)",LA silver corpus + DAMOS Linear B wordforms + Ugaritic/Hebrew lexicons + planted/fabricated (L_fake) surrogates + random sign->value maps,sign sequences / wordforms / cognate pairs,best-of-100 random-map graduation-gate stress test; bigram-floor morphology probe on known LB; simplified Hungarian-EM known-answer recovery; PC1-PC6 planted-truth controls,"500 best-of-100 random-map trials (false graduation 3/500=0.6%, CP95 upper 1.54%); L_fake canary at every epsilon",known-answer recovery / gate calibration on readable-script analogues,SUPPORTED throughout - the discipline instruments are validated (LIN-14 verdict evolution),EXTENSION,"Existing controls test outcome-recovery and false-graduation, never the historical acceptance PROCESS. A replay that asks 'would the gate + effective-n machinery have graduated Ventris-1952 at its actual evidence level (and rejected Hrozny-competitors/Gordon-Eteocretan)?' is a sensitivity calibration never run. If E201 merely reruns Ugaritic->Hebrew / opaque-LB recovery, it is DUPLICATE of LIN-14."
E201,"PC-19-tamburini-reproduction, PC-21-csa-h100-build (COMPUTE_BLOCKED), PC-22-csa-sufficiency-curve (INVALIDATED endpoint clamps) - inventory data/METHOD_INSTANCES.csv + MASTER_REPORT section 7 (invariant-12 break in the frozen paper, ERRATUM-class)",Linear B->Greek and Cypriot->Greek known decipherments; Luvian-Hittite benchmark (0.475 exact reproduction),wordform strings for cognate matching,Tamburini 2025 CSA_OptMatcher (non-neural) learning-curve sweep; serial path BROKEN (processes>1 mandatory),analytic + permutation chance floor per curve cell,pseudo-decipherment sufficiency at LA-like corpus scale,LB->Greek at chance floor at LA scale; 600-700-word cells NEVER MEASURED (deposited as clamps) - PC-22 INVALIDATED/INCOMPLETE,EXTENSION,"Re-measuring the clamped 600-700-word cells is a named open defect (MASTER_REPORT section 7); adding further historical cases (full Ugaritic, Cypriot syllabary end-to-end) at matched LA scale extends the sufficiency curve. Same channel, but the prior record is INVALIDATED, so a corrected rerun is legitimate rather than duplicative."
E201,"Frontier LB-calibration-first discipline: EPOCH-016 (SBI pilot, known-script calibration only), EPOCH-091..102 (Turing, ECC/BP, Potts, causal, TDA, network-flow - each calibrated on blinded LB before LA; E096 DE_AUTHORIZED when its calibration gate failed) - final/EPOCHS_001_TO_FINAL_MASTER_TABLE.csv, METHOD_EXHAUSTION_MAP.md",blinded Linear B (DAMOS) as ground-truth analogue; LA silver,sign co-occurrence graphs / factor graphs / context embeddings,per-method blinded-LB calibration gate before any LA application,"per-epoch matched adaptive nulls + generic-alternative controls (equal-diffusion, spectral clustering)",known-script recovery as admission ticket,"all calibrate on LB, none transfers to LA (CLOSED_UNDER_CURRENT_DATA); synthesis E102: a single independent channel",REPLICATION,"A unified replay-benchmark harness would institutionalize what the frontier campaign already did per-method; unless E201 adds the process-replay question or new historical corpora, it repackages the existing calibration standard."
E202,"Anchor-lattice campaign (branch research/linear-a-anchor-lattice, CLOSED 2026-07-08, verdict ANCHOR_LATTICE_UNDERDETERMINED) - cited by frontier final/CROSS_EPOCH_EVIDENCE_SYNTHESIS.md:56 and CAMPAIGN_FINAL_REPORT.md:141-142; primary artifacts NOT in either directed source (see gaps)",LA silver + candidate anchor inventories (distinct-lineage),anchor slots x lineages lattice over sign-value assignments,threshold pricing of the decipherment requirement (12x8-slot distinct-lineage anchors; foothold 2-3); constraint/ambiguity counting,"naive-vs-gated pipeline contrast (naive fabricates decipherment 120/120, gated 0/120, planted truth 20/20)",anchor-count -> identifiability ablation,LA at zero secure anchors; ~10^63-10^270 residual ambiguity; threshold PRICED,DUPLICATE,An anchor-ablation/VOI curve is exactly what the anchor-lattice campaign computed and closed. Re-running the ablation without new anchor classes or a new identifiability question re-prices a priced threshold. Memory directive: do not reopen without new evidence.
E202,"Frontier EPOCH-019 + EPOCH-021 (component-channel value-recovery identifiability surface: anchor budget b in {0,2,4,8,12} x channel quality MRR {0.15..1.0} -> value-class ARI; epochs/EPOCH-019/result.json, epochs/EPOCH-021/result.json) and EPOCH-003 (seed-poverty/corpus-power surface, BRIDGE_NOT_VIABLE_AT_LA_SEED_BUDGET) + EPOCH-002 anchor-budget 3-30 Holm scan (STRONG_LEADS: no finite budget survives at f_LA; anchor GEOMETRY is the bottleneck)","SigLA-derived component/stroke features + LA/LB corpora, synthetic channel-quality levels",18C x 5V = 90-sign value-class grid; simulated channels at calibrated MRR,"seeded KMeans / Fisher-weighted clustering across the (budget x quality) grid, 30 replicates",fail-closed harness validation gates (both attempts HARNESS_NOT_VALIDATED),simulated anchor-budget -> recovery surface,HARNESS_NOT_VALIDATED twice (fail-closed); no surface deposited,EXTENSION,"The VOI-surface design exists but never passed its own harness validation; E202 is an extension only if it diagnoses and fixes that validation failure (a third identical attempt would be waste). The open question is the surface shape, not whether LA sits at b=0 (known)."
E202,"Power envelopes + acquisition ranking: EGY-09 (min useful anchor count), LC-10-CONTINUITY-POWER-ENVELOPE (exact=full power, drift=NO_POWER), EA-02-TOPONYM-POWER-ENVELOPE (NO_POWER), D4_frontier (minimal-seed frontier, NO_POWER), FND-14 (seed power curve, needs ~4.9x corpus), CE-K-active-unlock-ranking (only external value-bearing evidence helps), L1_sourcewatch (expected-information-gain ranking of acquisitions)","per-channel calibration corpora (Egyptian lists, LB toponyms, LB C/V seeds)",channel-specific anchor/seed sets,per-channel power curves + static ranking of hypothetical acquisitions,channel-specific end-to-end nulls,power analysis / acquisition meta-ranking,NO_POWER at current anchor counts on every channel; ranking NULL (nothing internal helps),NEW,"OPEN_AND_UNTESTED_METHODS.md explicitly lists 'active-learning / adaptive corpus-acquisition targeting the signs with highest equivalence-class-reduction value' as never attempted. A sequential acquisition POLICY (which inscription/sign/anchor to seek next, priced in equivalence-class reduction) is the one genuinely new E202 slice; static thresholds and rankings are already done."
E203,"Identifiability lineage LIN-05/LIN-06: CE-A-identifiability-recount (V=92, count-favourable), CE-H-relabeling-invariance-null, FND-01 (theorem scope audit), H3_round3 (0 selection-exploitable bits), I1_agnostic (beam/best-first + MDL grids -> UNDERDETERMINED, >=10^27 relabeling twins), PC-41-campaign-identifiability-synthesis, PC-04-information-floor (WITHDRAWN as identifiability claim); plus anchor-lattice ~10^63-10^270 ambiguity with its UNSAT finding SELF-DOWNGRADED to GENERIC","LA silver corpus (packed load_a()=539 units / 3147 GORILA words), sign inventory V=92",sign->value assignment space under relative-class and formula constraints,"relabeling-invariance measurement, agnostic constrained search (beam/MDL), parameter/constraint counting, sampling-based twin counting",permutation/relabeling nulls; LB positive-control recovery (detector LIVE on LB),internal-constraint identifiability of the value layer,"UNDERDETERMINED, established 4 independent ways; bounds are sampling/lower-bound estimates, not certificates",EXTENSION,"The question 'is LA underdetermined?' is closed (DUPLICATE if that is the deliverable). What no prior instance produced is an EXACT engine: CP-SAT/SMT encodings with certified model counts (#SAT) and minimal-anchor-set certificates, replacing sampled bounds and pricing hypothetical anchor sets exactly. Hazard on record: the anchor-lattice UNSAT self-downgrade shows constraint encodings need their own planted-truth PC; E098's 'determined-but-wrong' Potts landscape shows exactness without external anchors can be confidently false."
E203,"Frontier EPOCH-098 (Potts spin-glass identifiability: near-unique energy landscape ORTHOGONAL to vowel classes - 'determined-but-wrong') and EPOCH-101 (capacity-Hungarian global assignment: GLOBAL_ASSIGNMENT_SELECTS_ARBITRARY_REPRESENTATIVE, cannot beat the anchor-lattice null) - final/STRONG_LEADS_AND_FAILED_REPLICATIONS.md",LA/LB sign context-similarity structures,signed-coupling Potts model / bipartite assignment graph,simulated annealing; global combinatorial assignment,LB calibration + anchor-lattice null,global-optimization uniqueness as identifiability proxy,BOUNDED_NEGATIVE both: unique optimum exists but is not truth; target-free assignment has NO_POWER,REPLICATION,Any E203 leg that treats solver-uniqueness as evidence of a reading replicates the E098/E101 failure mode. Only the certified-counting deliverable (row above) differs materially.
E204,"PC-09-metrology (Direction D: constraint-optimization/RANSAC fraction-value solver on HT accounting; reports/_result_matrix_rows.csv row PC-09) + CE-D4-accounting-closure (fraction-typing, TRIVIAL_RECOVERY, re-derives Bennett)","Haghia Triada accounting tablets, fraction signs, LA silver",fraction-sign -> rational-value assignments under document balance constraints,constraint optimization / RANSAC solver; grouped k-fold by document,shuffle sign->value map per fold (500-1000 draws); integer-only closure baseline,held-out arithmetic balance of fraction assignments,"NULL_PUBLISHED (held-out fraction balance 0.0 vs null, p=1.0; only J=1/2 recovered = Bennett 1950); fraction typing does not raise closure",DUPLICATE,"If E204 re-derives fraction values from internal balance/closure it duplicates PC-09 + CE-D4 (and OBS-02/03 masked-quantity REFUTED / closure 0.071 vs 0.049 sparse). Same data, same channel, verdict on file."
E204,"Frontier EPOCH-004 FRACTION_ORDER_ANETAKI_SEAL (final/PROSPECTIVE_SEALS_AND_FUTURE_TESTS.md; plan_hash da6e0248..., manifest data/seals/FRACTION_ORDER_ANETAKI_SEAL.manifest.sha256) + numeral epochs E044/E045/E054/E055 (single-numeral dominant, Benford-deviant-as-expected, scale underpowered), E060 (metro-logogram entry template CROSS_SITE), E070 (fraction attachment SITE_LOCAL)",LA silver numerals/fractions; Corazza-2021 values used ONLY as a frozen comparator,"25-claim pairwise fraction-value ordering (corpus-derived, Corazza-independent)","mechanical ordering scorer with sharp committed calls (H>K, A>B, both anti-frequency, contradicting Corazza's uncertain tier)",PC/NC/contamination checks passed at freeze; honest p_desc=0.727 disclosed,prospective held-out prediction (Anetaki II six-fraction sequence),"FROZEN, UNOPENED - awaiting the editio princeps; opening by the campaign is forbidden",EXTENSION,"A Corazza-Ferrara-style ADVERSARIAL AUDIT (the LIN-12 Di Mino pattern applied to the published Corazza/Ferrara fraction-value claims: free-parameter accounting, end-to-end nulls, planted-value PC) was never run - only a comparator was frozen. That is a new target (grading an external claim), reusing existing machinery. Hard constraint: E204 must not access Anetaki II fraction readings (contamination voids SEAL-1) and must not re-open the seal."
