record_id,channel,class,independence_class,covered_signs,tier,sm_trust,source_status,provenance
top_pa_i_to,L_lexical,toponym,1,PA|I|TO,high,tempting,primary,Steele & Meissner 2017 (primary chapter)
top_se_to_i_ja,L_lexical,toponym,1,SE|TO|I|JA,high,tempting,primary,Steele & Meissner 2017 (primary chapter)
top_tu_ru_sa,L_lexical,toponym,1,TU|RU|SA,high,tempting,primary,Steele & Meissner 2017 (primary chapter)
top_di_ki_te,L_lexical,toponym,1,DI|KI|TE,high,tempting,primary,Steele & Meissner 2017 (primary chapter)
top_su_ki_ri_ta,L_lexical,toponym,1,SU|KI|RI|TA,high,tempting,primary,Steele & Meissner 2017 (primary chapter)
top_a_tu_ri_si_ti,L_lexical,toponym,1,A|TU|RI|SI|TI,high,tempting,primary,Steele & Meissner 2017 (primary chapter)
top_i_da_a_cf,L_lexical,toponym,1,I|DA|A,high,tempting,primary,Steele & Meissner 2017 (primary chapter)
pn_a_ka_ru,L_lexical,personal_name,2,A|KA|RU,refuted,debunked,primary,Steele & Meissner 2017 (primary chapter)
pn_a_ra_na_re,L_lexical,personal_name,2,A|RA|NA|RE,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_a_re_sa_na,L_lexical,personal_name,2,A|RE|SA|NA,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_a_sa_ra2,L_lexical,personal_name,2,A|SA|RA2,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_a_su_ja,L_lexical,personal_name,2,A|SU|JA,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_a_ta_re,L_lexical,personal_name,2,A|TA|RE,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_da_i_pi_ta,L_lexical,personal_name,2,DA|I|PI|TA,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_da_mi_nu,L_lexical,personal_name,2,DA|MI|NU,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_di_de_ru,L_lexical,personal_name,2,DI|DE|RU,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_du_pu2_re,L_lexical,personal_name,2,DU|PU2|RE,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_i_ja_te,L_lexical,personal_name,2,I|JA|TE,refuted,debunked,primary,Steele & Meissner 2017 (primary chapter)
pn_ka_sa_ru,L_lexical,personal_name,2,KA|SA|RU,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_ki_da_ro,L_lexical,personal_name,2,KI|DA|RO,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_ki_ri_ta,L_lexical,personal_name,2,KI|RI|TA,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_ku_ku_da_ra,L_lexical,personal_name,2,KU|KU|DA|RA,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_ku_56_nu,L_lexical,personal_name,2,KU|*56|NU,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_ku_ru_ku,L_lexical,personal_name,2,KU|RU|KU,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_mi_ja_ru,L_lexical,personal_name,2,MI|JA|RU,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_pa_ja_re,L_lexical,personal_name,2,PA|JA|RE,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_pa_ra_ne,L_lexical,personal_name,2,PA|RA|NE,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_qa_qa_ru,L_lexical,personal_name,2,QA|QA|RU,high,tempting,primary,Steele & Meissner 2017 (primary chapter)
pn_qa_ra2_wa,L_lexical,personal_name,2,QA|RA2|WA,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_sa_ma_ro,L_lexical,personal_name,2,SA|MA|RO,high,tempting,primary,Steele & Meissner 2017 (primary chapter)
pn_si_ki_ra,L_lexical,personal_name,2,SI|KI|RA,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
pn_wa_du_ni_mi,L_lexical,personal_name,2,WA|DU|NI|MI,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
ni_fig_nikuleon,L_lexical,gloss_acrophonic,3,NI,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
kikina_sycamore_fig,L_lexical,gloss_acrophonic,3,KI|KI|NA,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
maru_wool,L_lexical,gloss_acrophonic,3,MA|RU,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
var_m_series,L_lexical,variation_constraint,4,ME|MA|MI,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
var_t_series,L_lexical,variation_constraint,4,TA|TE|TU,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
var_u_w_series,L_lexical,variation_constraint,4,U|WA,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
var_s_series,L_lexical,variation_constraint,4,SA|SI,mid,neutral,primary,Steele & Meissner 2017 (primary chapter)
top_ku_79_ni_younger,L_lexical,toponym,1,KU|*79|NI,unrated,n/a,secondary,"Younger LA pages (secondary, Wayback)"
top_da_u_49_younger,L_lexical,toponym,1,DA|U|*49,unrated,n/a,secondary,"Younger LA pages (secondary, Wayback)"
top_i_ti_ni_sa_younger,L_lexical,toponym,1,I|TI|NI|SA,unrated,n/a,secondary,"Younger LA pages (secondary, Wayback)"
top_ku_ni_su_younger,L_lexical,toponym,1,KU|NI|SU,unrated,n/a,secondary,"Younger LA pages (secondary, Wayback)"
top_ku_ta_younger,L_lexical,toponym,1,KU|TA,unrated,n/a,secondary,"Younger LA pages (secondary, Wayback)"
top_sa_ra2_younger,L_lexical,toponym,1,SA|RA2,unrated,n/a,secondary,"Younger LA pages (secondary, Wayback)"
