scope,omitted_method
external_language,"EA-13-FROZEN-EGYPTIAN-POWER-PASS (frozen_power_pass.py + reports/FROZEN_POWER_PASS.md + results/power/frozen_power_envelope.json @ commit 3310e4b, HEAD of research/external-minoan-anchors). DISTINCT executed method from EA-02: EA-02 = frozen=False naive mapping-SEARCH regime (NO_POWER-leaning); EA-13 = frozen=True fixed-a-priori-correspondence regime, verdict POWERED_DESIGN / any_config_powered=true / best config n=4,La=4 -> FP=0.043, REC=0.91, powered at La>=4 (NOT powered at La=3). Honest reading in the MD = 'design-viable but scarcity-limited, NOT a crack'; the single real confirmatory attempt was TRIVIAL_RECOVERY (LOO flips 3->1). P1 missed it because the artifacts exist ONLY at 3310e4b, absent from the older external_anchors snapshot inherited into the la-lb-ritual worktree P1 read. This materially qualifies EA-02's bare 'leans NO_POWER'."
admin_structure,NONE within the declared admin_structure dir-ownership (admin_schema/no_human_structure/observable_channels) — all 18 method instances mapped.
admin_structure,"Cross-scope (NOT an admin_structure omission): exploratory main-branch admin methods schema_recon, schema_induction (LA total-reconciliation 29.2%/7-24 exact, 35% clean, vs 0.54% null ~55-65x; EXPLORATORY/NOT gate-validated) and representation_audit are admin-relevant but P1 assigned them to the paper_core scope (PC-35/36/37, PC-42 KU-RO control). Reasonable scoping; not globally omitted."
egyptian,None within the egyptian-calibration-gate branch: all ~30 reports map onto the 14 captured instances (FINAL_EGYPTIAN_CHANNEL_VERDICT.md==EGY-10; BLOCKED_DOWNSTREAM_GATES.md is a superseded pre-EGY-04 placeholder). No post-EGY-14 corrected final_verdict exists to capture -- that absence IS the stale-status condition P1 already flags.
egyptian,"Cross-scope (not an omission for this scope): the Egyptian corpus-build + correspondence-model appear as pre-fork ancestors under external_language scope (EA-03 designed-not-run, EA-12 source-blocked) and paper_core scope (PC-39 NO_POWER, LC-12 channel comparison) -- correctly partitioned by dir-ownership and connected via LIN-10, not independent methods."
paper_core,"NONE material: all 27 docs/findings map 1:1 to PC rows; crossscript_gate (3 phases), segmentation_extension, representation_audit, schema_recon, schema_induction, linear_a_campaign T2-T5 all covered. paper_core coverage is complete."
paper_core,"INFORMATIONAL only (out-of-scope, not an omission): PC-05 morphology NULL and PC-11 distributional-phonology NULL are later partly reversed on newer branches (relative-phonology E: A- prefixation SUPPORTED L3; WP-A: CV_ANALOGUE_REFUTED as frequency artifact per LIN-07/LIN-01) — those belong to relative_phonology/foundry scopes; the paper_core rows correctly report paper-state status but do not cross-reference the downstream reversal."
foundry,"None material. candidate_round1_wordunits.py / candidate_wordunits.json (973 held-out multi-sign tokens) is input construction for the candidate rounds, not a separate result — correctly not a distinct instance. Helper scripts (candidate_engine.py, word_units.py, seal_common.py, wp7_cvcheck_patch.py) are infrastructure. All WP1-8 + synthetic lab + WP6 + 3 candidate rounds + seals + sources are covered by FND-01..FND-23."
foundry,Cross-scope (not an omission): the relative-phonology campaign that refutes foundry C1/seed-propagation lives on branch research/linear-a-relative-phonology-seals and is a separate P1 scope; correctly cross-referenced from foundry rows.
relative_phonology,NONE material — all 187 files the branch changed vs Foundry parent 09f7ef9 are under experiments/linear_a_relative_phonology/ (git diff --stat verified); no newer/owning branch skipped by dir-ownership.
relative_phonology,"Non-material collapses only: G3_seedq folds g3_anchor_nulls.py+g3_compound_systems.py+g3_seed_quality.py into one row; I1_agnostic folds i1_agnostic.py+i1_robustness.py+free-objective-collapse; WP-F sub-reports (F_CYPRO_MINOAN_SENSITIVITY, F_RELATIVE_CLASS_COMPATIBILITY, F_LINEAR_A_LINEAR_B_SUBSETS) subsumed under F1/F2. All reasonable, no load-bearing number lost."
