lineage,contradiction
Egyptian,"HEADLINE CONTRADICTION — mechanical vs honest: the one-shot Cretan test (EGY-14) returned pre-registered mechanical verdict CONFIRM_GENERALIZES (r1_M2=3/3, p=0.0014) but the honest adversarial adjudication is RECOVERED_TRIVIAL / NULL (result_stands=false). Both are recorded append-only; the interpretation, not the mechanical number, was corrected."
Egyptian,"STALE STATUS: STATUS.md still headlines 'egyptian_channel_readiness = READY_FOR_PREREG_DRAFT ... the first channel to pass its gate' and DECISION_LOG.md stops at E6 (READY), neither reflecting the later one-shot TRIVIAL/NULL downgrade that CLOSED the phonetic-anchor programme (per CRETAN_ANCHOR_RESULT.md and MEMORY). final_verdict.json likewise still reads COMPLETE/READY_FOR_PREREG_DRAFT."
Egyptian,"EFFECTIVE-N vs NOMINAL: the '3/3' recovery is effectively n≈1 — Lyktos is a pure-identity freebie, and Knossos+Amnisos both hinge on the SAME terminal s->s(sh) rule learned from a SINGLE training record (HV-0234); leave-one-out of that one record flips the verdict 3->1 (REFUTE)."
Egyptian,"PREREG FLAW found only post-run: the minted plan_hash 2eab1536 baseline set omitted a fold-tolerant generic-Egyptian baseline (B_egy was strict char-identity); a fair sibilant-fold baseline TIES M2 at 3/3, so the prereg's own RECOVERED_TRIVIAL branch fires. Pre-mint verification missed it; the post-run skeptic caught it."
Egyptian,OPERATIVE-MODEL vs DESIGN-SPEC divergence: the frozen M0-M9 design doc (configs/egyptian_model_freeze.json sha 3c56ed71) is explicitly NOT the operative estimator; the operative M2 is src/calibration/model.py sha e76b2f23. The design freeze is provenance-only.
Egyptian,"READINESS scope: EGY-10 flags Cretan targets CONFIRMATORY_INELIGIBLE pending REQ-01, and 'READY_FOR_PREREG_DRAFT' means 'draft the prereg', NOT 'the reading works' — an easily-misread label given the SUPPORTED gate stages."
admin_structure,"STALE STATUS vs final verdict (admin_schema/STATUS.md): top line still reads 'NOW (2026-07-06): SCAFFOLD created ... status=INCOMPLETE, benchmark_readiness=NOT_READY' and 'Next action: complete the prior-art & novelty audit', but the DECISION_LOG shows the programme actually advanced through Stage 5.1 NO_POWER (alpha 0.614) and the human-expert gate BLOCKED — the NOW header and Next-action were never updated to the closed state."
admin_structure,"DUPLICATED/HALF-TEMPLATED STAGE LEDGERS: admin_schema/STATUS.md lists Stage 5 twice (once 'FROZEN', once 'pending'); no_human_structure/STATUS.md lists Stages 3/4/5 twice (done rows above, stale 'pending' template rows below) — the pending rows contradict the COMPLETE / NO_POWER_BEFORE_MODELING final verdict."
admin_structure,"CIRCULARITY flagged in-artifact (NOHUM-03): WS0-3 est_precision_on_gold = 1.0 for index LFs is circular because those LFs share their source (published indexes) with the gold; the only non-circular EDITION_INDEPENDENT structural signal is 0.026, far below the 0.652 majority baseline. The headline coverage/precision must not be read as predictive power."
admin_structure,"MODEL-BASED ALPHA CAVEAT (ADMIN-06): Krippendorff alpha=0.614 is two instances of the same model family, an OPTIMISTIC upper bound, not independent humans — the NO_POWER is therefore robust-if-anything, and the power-sim partitions (~39 unseen, ~140 nonKN units) are moot because alpha gates first."
