experiment_dir,authoritative_worktree,path,ext,bytes,classification
linear_a_campaign,main,experiments/linear_a_campaign/identifiability_metrics.py,py,4524,SUBSUMED_SCRIPT (helper/loader for a covered instance)
linear_a_campaign,main,experiments/linear_a_campaign/kuro_reconciliation.py,py,5206,SUBSUMED_SCRIPT (helper/loader for a covered instance)
linear_a_foundry,foundry,experiments/linear_a_foundry/FINAL_CAMPAIGN_REPORT.md,md,13313,SUBSUMED_REPORT (section of a covered instance)
linear_a_foundry,foundry,experiments/linear_a_foundry/CHECKPOINTS/CHECKPOINT_WP6.md,md,1171,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_foundry,foundry,experiments/linear_a_foundry/scripts/word_units.py,py,2916,SUBSUMED_SCRIPT (helper/loader for a covered instance)
linear_a_foundry,foundry,experiments/linear_a_foundry/scripts/wp7_cvcheck_patch.py,py,4150,SUBSUMED_SCRIPT (helper/loader for a covered instance)
linear_a_foundry,foundry,experiments/linear_a_foundry/scripts/__pycache__/wp6_synthetic_recovery_lab.cpython-311.pyc,pyc,53613,SUBSUMED_REPORT (section of a covered instance)
linear_a_foundry,foundry,experiments/linear_a_foundry/scripts/__pycache__/wp7_word_substitution_channel.cpython-311.pyc,pyc,17125,SUBSUMED_REPORT (section of a covered instance)
linear_a_foundry,foundry,experiments/linear_a_foundry/scripts/__pycache__/wp2_segmentation_lever.cpython-311.pyc,pyc,10757,SUBSUMED_REPORT (section of a covered instance)
linear_a_foundry,foundry,experiments/linear_a_foundry/scripts/__pycache__/seal_common.cpython-311.pyc,pyc,6728,SUBSUMED_REPORT (section of a covered instance)
linear_a_foundry,foundry,experiments/linear_a_foundry/scripts/__pycache__/wp6_agnostic_search_endtoend_null.cpython-311.pyc,pyc,39656,SUBSUMED_REPORT (section of a covered instance)
linear_a_foundry,foundry,experiments/linear_a_foundry/scripts/__pycache__/wp3_4_morphology_cv.cpython-311.pyc,pyc,39822,SUBSUMED_REPORT (section of a covered instance)
linear_a_foundry,foundry,experiments/linear_a_foundry/scripts/__pycache__/word_units.cpython-311.pyc,pyc,5544,SUBSUMED_REPORT (section of a covered instance)
linear_a_foundry,foundry,experiments/linear_a_foundry/scripts/__pycache__/wp5_reduced_seed_bootstrap.cpython-311.pyc,pyc,35170,SUBSUMED_REPORT (section of a covered instance)
linear_a_foundry,foundry,experiments/linear_a_foundry/scripts/__pycache__/candidate_round1.cpython-311.pyc,pyc,37480,SUBSUMED_REPORT (section of a covered instance)
linear_a_foundry,foundry,experiments/linear_a_foundry/scripts/__pycache__/wp3_2_scribal_substitution.cpython-311.pyc,pyc,36383,SUBSUMED_REPORT (section of a covered instance)
linear_a_foundry,foundry,experiments/linear_a_foundry/scripts/__pycache__/candidate_engine.cpython-311.pyc,pyc,28963,SUBSUMED_REPORT (section of a covered instance)
linear_a_foundry,foundry,experiments/linear_a_foundry/scripts/__pycache__/wp3_cv_recovery.cpython-311.pyc,pyc,15079,SUBSUMED_REPORT (section of a covered instance)
linear_a_foundry,foundry,experiments/linear_a_foundry/data/seal_1_heldout.json,json,2967,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_foundry,foundry,experiments/linear_a_foundry/data/seal_2_heldout.json,json,2248,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_foundry,foundry,experiments/linear_a_foundry/data/seal_3_heldout.json,json,2186,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_foundry,foundry,experiments/linear_a_foundry/data/wp4_summary.txt,txt,1230,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_foundry,foundry,experiments/linear_a_foundry/data/seal_4_heldout.json,json,14717,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_foundry,foundry,experiments/linear_a_foundry/data/la_reduced_value_space.json,json,6899,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_foundry,foundry,experiments/linear_a_foundry/manifests/SEAL_5_prospective_gold_anetaki_II.json,json,1798,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_foundry,foundry,experiments/linear_a_foundry/manifests/SEAL_2_unseen_site.json,json,1735,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_foundry,foundry,experiments/linear_a_foundry/manifests/SEAL_1_unseen_inscriptions.json,json,1738,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_foundry,foundry,experiments/linear_a_foundry/manifests/SEAL_3_unseen_formula_family.json,json,1915,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_foundry,foundry,experiments/linear_a_foundry/manifests/SEAL_4_masked_notation_reconstruction.json,json,1897,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/CHECKPOINTS/checkpoint_02.md,md,1320,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/CHECKPOINTS/checkpoint_03.md,md,1443,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/CHECKPOINTS/checkpoint_01.md,md,1288,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/scripts/__pycache__/h1_candidate_round1.cpython-311.pyc,pyc,33301,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/scripts/__pycache__/c1_substitution_candidates.cpython-311.pyc,pyc,41148,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/scripts/__pycache__/c5_stability_infogain.cpython-311.pyc,pyc,40708,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/scripts/__pycache__/e1_morphology_models.cpython-311.pyc,pyc,50778,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/scripts/__pycache__/c4_la_substitution_graph.cpython-311.pyc,pyc,37684,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/scripts/__pycache__/d3_seed_propagation_audit.cpython-311.pyc,pyc,35529,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/scripts/__pycache__/c3_lb_calibration.cpython-311.pyc,pyc,43022,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/scripts/__pycache__/l_ingest_parsers.cpython-311.pyc,pyc,8957,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/scripts/__pycache__/a1_recompute.cpython-311.pyc,pyc,23549,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/scripts/__pycache__/b4_synthetic_segmentation.cpython-311.pyc,pyc,28780,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/scripts/__pycache__/a3_replications.cpython-311.pyc,pyc,38691,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/scripts/__pycache__/i1_agnostic_search.cpython-311.pyc,pyc,42489,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/scripts/__pycache__/a2_multiplicity.cpython-311.pyc,pyc,30217,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/scripts/__pycache__/b3_known_script_segmentation.cpython-311.pyc,pyc,71162,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/scripts/__pycache__/d1_multiview.cpython-311.pyc,pyc,38626,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/reports/WAVE3_SYNTHESIS.md,md,3741,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/reports/WAVE4_SYNTHESIS.md,md,4332,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/reports/k1_run.log,log,236,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/reports/i1_run_free.log,log,356,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/reports/i1_run.log,log,465,SUBSUMED_REPORT (section of a covered instance)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/data/segmentations/SEG_ROW.json,json,751274,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/data/segmentations/SEG_MULTI_SCALE.json,json,1200708,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/data/segmentations/SEG_DIPLOMATIC.json,json,354406,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/data/segmentations/SEG_FORMULA.json,json,581357,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/data/segmentations/SEG_PROBABILISTIC_BOUNDARY.json,json,774708,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
linear_a_relative_phonology,relative-phonology,experiments/linear_a_relative_phonology/data/segmentations/SEG_GORILA_WORD.json,json,745642,SUBSUMED_SUBFILE (data/checkpoint rolled into a covered method instance in same dir)
