lineage_id,name,origin,trajectory,current_authoritative,obsolete,verdict_evolution,reruns_reason
LIN-01,Distributional C/V phonology (position→vowel/consonant),paper distributional-phonology pilot (data-limited NULL),"foundry WP1/WP3.1 position→C/V AUC 0.744/0.835 ('symmetry broken, value layer reopened') → relative-phonology WP-A multiplicity+replication+oriented-null audit","relative-phonology WP-A: CV_ANALOGUE_REFUTED (frequency artifact; fails Bonferroni×13=0.455, 2 unsupervised models, 2-sided null p=0.146, freq-band-disjoint 0.481)",foundry FND-02/03 position→C/V 'reopening' (SUPERSEDED),data-limited NULL → SUPPORTED(exploratory) → REFUTED,multiplicity + independent-replication + honest-2-sided-null were missing in foundry
LIN-02,Segmentation (word-boundary induction),paper segmentation DP-unigram micro-F1 0.436 vs random 0.389 (gap CI excludes 0),segmentation_extension PYP 0.559 / BiLSTM 0.622 / morfessor worse-than-random → foundry WP2 packed→word 0.685→0.760 ('helps C/V') → relative-phonology B channel-dependent,relative-phonology B: SUPPORTED_ON_LB but C/V recovery is segmentation-INVARIANT; at LA hapax regime skill over cut-everywhere ~0 (over-cut superset); signal is layout not distribution,foundry WP2 'segmentation cleanly helps C/V' framing (tensioned/superseded),"STRUCTURAL_ONLY(positive gap) → 'helps' → channel-dependent, C/V-invariant",foundry conflated coverage with C/V discrimination
LIN-03,Scribal-substitution relative channel,"foundry WP3.2 substitution graph validated on LB (z=7.07, AUC 0.71)",relative-phonology C_AUDIT applies the WP-A battery to it,relative-phonology C_AUDIT: SUBSTITUTION_CONSONANT_AXIS_VALIDATED on LB (survives freq-band-disjoint + freq-matched null p=0.0033) but C4/C5 NOT_RECOVERED on LA (underpowered support 3 vs 98; word-INITIAL wrong signature),—,validated-on-LB (foundry) → validated-on-LB + not-recoverable-on-LA (relative-phonology),the load-bearing surviving channel after position fell; needed its own hard audit
LIN-04,Reduced-seed C/V propagation,foundry WP5 reduced-seed bootstrap 3-4 seeds→AUC 0.87 on LB,relative-phonology D3 seed-propagation audit,"relative-phonology D3: SEED_PROPAGATION_FREQUENCY_ARTIFACT (n=5 lucky sample, honest 0.784; kv=4 reveals 80% of 5-vowel key; pure-freq ranking 0.872>seed; clean-seed random null never run, non-sig here)",foundry FND WP5 '3-4 seeds→0.87' (REFUTED),SUPPORTED(exploratory) → REFUTED (frequency artifact),design leak + missing random-seed null
LIN-05,Value-blindness / identifiability of the value layer,12h campaign + constraint-expansion 'internal distributional structure is sign-relabeling-invariant → value layer permanently closed',foundry WP1 audits the theorem → relative-phonology WP-A/H3 measure it directly,relative-phonology: internal methods NOT universally value-blind (substitution breaks C/V on LB) BUT Linear A specifically is relabeling-invariant/underdetermined (H3 0 bits; I1 ≥10^27 twins) — the measured middle,constraint-expansion 'permanently closed' global theorem (SUPERSEDED by foundry WP1 as OVERSTATED); foundry 'position reopens it' (SUPERSEDED by WP-A: position was a frequency artifact),"'proven closed' → 'reopened via position' → 'not closed in general, but LA underdetermined by available evidence'",both extremes were overstated; two corrections
LIN-06,Identifiability parameter/constraint count,12h campaign + paper headline: 259 sign-value params > 212 constraints,constraint-expansion Stage A cleaned inventory,"constraint-expansion: real conservative syllabary V=92 (count-FAVOURABLE, 92<212); the deficit is value-informativeness not count. '259' is a category error (incl. 108 ligatures+13 damage+logograms)",12h/paper '259 params' headline (INVALIDATED as category error),'params>constraints (underdetermined by count)' → 'count favourable; value-informativeness is the real deficit',259 conflated diplomatic-stream tokens with syllabogram inventory
LIN-07,Morphology / affix induction,paper morphology pooled NULL (real 0.250 < L_fake bigram floor 0.375; no power) + LB positive control HAS power (0.5625),stratified morphology → foundry WP3.4 (whole-wordform-recurrence artifact) → relative-phonology E,relative-phonology E: A- prefixation genuine (adaptive-null p 0.008) + 2 formula grammars (KU-RO terminal / libation order); corrects 'A-/I-/-JA' to A- only; held-out-validated L3,foundry 'A-/I-/-JA three affixes' (corrected to A- only),NULL(no power) → whole-wordform artifact → A- prefixation SUPPORTED at L3,segmentation + adaptive null + cross-site controls added
LIN-08,Cross-script value transfer (A↔B distributional + image),paper A↔B distributional NULL (procrustes 0.020 vs 0.0145) + palaeo IMAGE leg (withdrawn as CIRCULAR shape-genealogy),"crossscript_gate one-shots (REFUTE_LOTO_FRAGILE, DOIs 21168887/21173639) → foundry WP4 NULL → relative-phonology F decomposed NULL → external-anchors","relative-phonology F: NULL, decomposed — only admin_function non-circular+calibratable, =NULL; shape circular (≤0.75); 0/59 correspondences primary. 4th+ distributional null",5e82576 commit 'IMAGE alignment SUCCEEDS' (WITHDRAWN),NULL/circular → REFUTE_LOTO_FRAGILE → NULL (repeatedly confirmed),"multiple independent implementations, all null"
LIN-09,Administrative / formula structure recovery,"paper + admin_schema blinded LB role/schema induction (29.2% exact, not gate-validated)","no_human_structure (source-label route NO_POWER) → observable_channels (L3 word-context→channel REFUTED; L2 doc-structure SUPPORTED, no licence) → relative-phonology E2","observable_channels + relative-phonology E2: L2 document structure (templates/closure, formula grammars) SUPPORTED but earns NO functional licence; L3 channel REFUTED",—,exploratory schema → NO_POWER (no-human) → L2 STRUCTURAL_ONLY / L3 REFUTED,blinding + power gates + observable-channel reframing
LIN-10,External anchors / candidate languages,external_anchors + toponym/name inventory (115 records),la_lb_continuity (toponym continuity split H_exact NULL_PUBLISHED / H_drift NO_POWER) → la_lb_ritual (NO_POWER) → egyptian calibration → foundry candidate rounds → relative-phonology G/H,relative-phonology G: SEED_A=0 (no independently-secure value seed; value substrate=one circular toponym lineage); H1-H3 candidate rounds all AT_END_TO_END_NULL (6 families+isolate); only bilingual/≥3 independent anchors can crack,—,anchor inventory → mostly circular/one-toponym-deep → SEED_A=0 + candidate NULL,decontamination + Art. XII circularity gate + end-to-end null
LIN-11,Egyptian phonetic-anchor calibration,egyptian-calibration-gate REQ-01,Cretan one-shot pre-registered test,"egyptian: mechanical CONFIRM_GENERALIZES but honest interpretation TRIVIAL/NULL (fair š~s baseline ties M2; edge = 1 training record, LOO flips; effective-n≈1); channel NOT confirmed; programme CLOSED",STATUS.md 'READY_FOR_PREREG / first channel to pass its gate' (STALE),'READY/passes gate' (stale) → mechanical CONFIRM but honest NULL/TRIVIAL (effective-n≈1),effective-n audit exposed n≈1
LIN-12,Di Mino *301=/na/ exact claim audit,"docs/linear-a-claims-2026.md qualitative three-part takedown (literature/primary-source, NOT a mechanical verdict)",di_mino exact mechanical gate (families A-H + PC + end-to-end null),di-mino: DI_MINO_CORE_VERDICT=REJECT (chain *301=/na/→N-W-Y→dwell→Semitic); pipeline calibrated (PC PASS); end-to-end FP=1.0; H4 PARTIAL_SUPPORT L3-functional; H7-H12 SOURCE_BLOCKED,—,"qualitative critique (paper §4, flagged as NOT-yet-mechanical) → exact mechanical REJECT",the paper named the mechanical gate as the missing priority
LIN-13,Metrology / accounting / masked-quantity,paper metrology NULL (held-out fraction balance p=1.0; only J=1/2 = Bennett 1950),observable_channels masked-logogram (Exp1) + masked-quantity (Exp2),observable: masked-logogram + masked-quantity REFUTED (commodity is a document-series shortcut; word-context fails A12 + cross-site),—,metrology NULL → masked-quantity REFUTED,reframed as observable-channel recovery
LIN-14,Falsification instruments (L_fake / gate calibration / opaque-LB positive controls),L_fake canary + litindex decontamination + gate null calibration,gate_null_calibration (3/500=0.6% false graduation) → opaque-LB + Ugaritic↔Hebrew surrogates → di_mino PC (PC1-6),"instruments VALIDATED: L_fake CANARY_HOLDS (every eps), gate FP 0.6% (CP-upper 1.54%), LB morphology control HAS power, di_mino PC PASS (recovers real+planted, rejects fake)",—,SUPPORTED throughout (the discipline machinery works),reused across campaigns as the honesty backstop
