source_id,citation,type,edition_lineage,machine_readable,new_information,dependency_cluster,ingestion_status,independent_of_gorila_ventris,provenance_present,file_sha16
SRC-ANETAKI-II,"A. Kanta (ed.), Anetaki II: the Neopalatial Room 1 and the Ivory Repository (The Religious Center of the City of Knossos, Vol. 1), Philadelphia: INSTAP, forthcoming.",forthcoming_unavailable,THE editio princeps of KN Zg 57/58 (primary autopsy),no,WOULD ADD: the official transliteration of the longest LA inscription — the genuine HELD-OUT gold that would grade every Anetaki prediction. Not yet published.,L_ARCHAEOLOGY,UNAVAILABLE,True,False,
SRC-DELFREO-2024,"M. Del Freo, 'Rapport 2016-2021 sur les textes en ecriture hieroglyphique cretoise, en lineaire A et en lineaire B', KO-RO-NO-WE-SA (Ariadne Suppl. 5), 2024, 87-124. DOI 10.26248/ariadne.vi.1843.",conference_paper,primary find-report / editio-princeps pointers 2016-2021,no,Backbone find-report for LA finds 2016-2021 (S2 pp.96-108) — the post-GORILA supply enumeration. Independent of any reading.,L_ARCHAEOLOGY,TEXT_EXTRACTED,True,True,7be9aecbee39cb1b
SRC-HENKEL-MARGARITIS-2022,"C. Henkel & E. Margaritis, 'Examining the Ritual Landscape of Bronze Age Crete through the Lens of Archaeobotany', Religions 13(1):81, 2022. DOI 10.3390/rel13010081.",journal_article,"primary archaeobotany (open access, CC BY)",no,Ritual-plant context for the Knossos Anetaki Fetish Shrine (KN Zg 57/58 deposit). Context only; no inscription content.,L_ARCHAEOLOGY,PDF_IN_HAND,True,True,bc5fb688cf5104a9
SRC-KANTA-2024,"A. Kanta, D. Nakassis, T. G. Palaima & M. Perna, 'An archaeological and epigraphical overview ... (Anetaki plot)', KO-RO-NO-WE-SA (Ariadne Suppl. 5), 2024, 27-43. DOI 10.26248/ariadne.vi.1841.",conference_paper,primary autopsy of KN Zg 57/58 (Anetaki Ivory Repository),no,"The longest known LA inscription (~119 signs, KN Zg 57 ring + KN Zg 58). Prints NO transliteration — archaeological context only; full edition forthcoming.",L_ARCHAEOLOGY,PDF_IN_HAND,True,True,87dad27b79ee3ef4
SRC-KENTRO-2021,"Kentro: The Newsletter of the INSTAP Study Center for East Crete, Vol. 24 (Fall 2021), 40 pp.",website,institutional newsletter (public),no,2021 corroboration that the Anetaki excavation volumes are in preparation; archaeobotany of Anetaki cult deposits. Marginal context.,L_ARCHAEOLOGY,PDF_IN_HAND,True,True,56a6dfe67162b892
SRC-BARBER-1974,"E. J. W. Barber, Archaeological Decipherment: A Handbook, 1974.",monograph,decipherment methodology / identifiability theory,no,The identifiability-without-a-known-target threshold the unicity/information -floor argument must engage. Method theory -> independent.,L_COMPUTATIONAL_METHOD,CITED_ONLY,True,False,
SRC-BERGKIRK-2011,"T. Berg-Kirkpatrick & D. Klein, 'Simple Effective Decipherment via Combinatorial Optimization', EMNLP 2011.",method_paper,combinatorial-optimization decipherment (the numpy/scipy core),no,Cognate decipherment as min edit-distance under a char mapping — the combinatorial core logos implements.,L_COMPUTATIONAL_METHOD,CITED_ONLY,True,False,
SRC-BRAOVIC-2024,"M. Braovic, D. Krstinic, M. Stula & A. Ivanda, survey, Computational Linguistics 50(2):725-779, 2024. OA https://aclanthology.org/2024.cl-2.7.pdf.",survey,independent computational survey,no,The comparable prior-review of computational decipherment — cite-or-be-desk-rejected map of the method space.,L_COMPUTATIONAL_METHOD,TEXT_EXTRACTED,True,True,ecf71e58043d19c7
SRC-CORAZZA-SIGN2VEC-2022,"M. Corazza et al., 'Sign2Vec' — unsupervised sign clustering (ResNet50+k-means) for Cypro-Minoan, 2022.",method_paper,representation-layer prior art (visual clustering),no,"Direct prior art for the sign-representation layer (2/3 signs correct on Cypro-Minoan). Must-cite, not our novelty.",L_COMPUTATIONAL_METHOD,CITED_ONLY,True,False,
SRC-CSA-OPTMATCHER,"F. Tamburini, CSA_OptMatcher (Combinatorial Sign Assignment optimal matcher), vendored in corpus/bronze/code/.",code,independent computational method (combinatorial optimization),yes,The CSA solver used for the sufficiency sweep. NOTE: serial path (processes=1) is BROKEN — always run parallel (forked isolation).,L_COMPUTATIONAL_METHOD,CODE_IN_REPO,True,True,74d6d79a7410abe4
SRC-DAGGUMATI-REVESZ-2018,"S. Daggumati & P. Z. Revesz, CNN+SVM script-family trees; + Revesz 2019/2023 cross-script CNN (Information, MDPI OA).",method_paper,visual script-family CNN prior art,no,CNN script-family trees ('Linear B close to Cretan Hieroglyphic'). Visual cross-script prior art.,L_COMPUTATIONAL_METHOD,CITED_ONLY,True,False,
SRC-EDITDISTWILD,"EditDistanceWild — CUDA/CPU wildcard edit-distance kernel, vendored.",code,independent computational method (string alignment),yes,Wildcard edit-distance primitive for the matcher (built .so present).,L_COMPUTATIONAL_METHOD,CODE_IN_REPO,True,True,3a331f0be83b8e36
SRC-FERRARA-TAMBURINI-2022,"S. Ferrara & F. Tamburini, 'Advanced techniques...', Lingue e Linguaggio 2/2022:239-259 (il Mulino).",journal_article,the only comparable prior computational review,no,WOULD ADD: the closest comparable review ('cite or be desk-rejected'). Paywalled (il Mulino).,L_COMPUTATIONAL_METHOD,UNAVAILABLE,True,False,
SRC-ITHACA,"Y. Assael et al., DeepMind Ithaca (+ predecessor Pythia; + Aeneas), github.com/google-deepmind/ithaca.",code,restoration/attribution of KNOWN-language (Greek) text — engineering ref,no,Sparse-text transformer restoration + geo/chrono attribution (~62%/71%). Engineering reference only — does NOT decipher unknown scripts.,L_COMPUTATIONAL_METHOD,CITED_ONLY,True,False,
SRC-KARAJGIKAR-2021,"J. Karajgikar, A. Al-Khulaidy & A. Berea, word2vec embeddings for Linear A glyphs + symbol grouping, 2021.",method_paper,LA embedding prior art,no,Prior art establishing LA-glyph embeddings + grouping exist (not our novelty).,L_COMPUTATIONAL_METHOD,CITED_ONLY,True,False,
SRC-LOH-CACCIAFOCO-2020,"C. J. S. Loh & F. Perono Cacciafoco, 'A new approach to the decipherment of Linear A ... a brute force attack', Grapholinguistics 2020, 927-943. DOI 10.36824/2020-graf-cacc. OA.",conference_paper,independent brute-force decipherment attempt,no,OA brute-force LA attempt (note: survey miscites as 'Colin & Cacciafoco'). Peer decipherment attempt.,L_COMPUTATIONAL_METHOD,CITED_ONLY,True,False,
SRC-LUO-2019,"J. Luo, Y. Cao & R. Barzilay, 'Neural Decipherment via Minimum-Cost Flow: From Ugaritic to Linear B', ACL 2019 (P19-1303); arXiv 1906.06718.",method_paper,independent neural decipherment method,no,The seminal auto-decipherment result (Ugaritic->Hebrew; partial LB->Greek; explicitly did NOT crack LA). The foundry's baseline method. Code not released.,L_COMPUTATIONAL_METHOD,CITED_ONLY,True,False,
SRC-LUO-2021,"J. Luo et al., 'Deciphering Undersegmented Ancient Scripts Using Phonetic Prior', TACL 2021.",method_paper,independent method (undersegmented scripts),no,Directly relevant to LA's segmentation obstacle (scripts without clear word boundaries). Gothic/Ugaritic/Iberian.,L_COMPUTATIONAL_METHOD,CITED_ONLY,True,False,
SRC-PACKARD-1974,"D. W. Packard, Minoan Linear A, UC Press 1974.",monograph,statistical null / fictitious-decipherment control (method ancestor),no,Built 9 FICTITIOUS decipherments as a null — Ventris-value transfer beat them only ~2:1. The direct ancestor of the foundry's permutation-null discipline.,L_COMPUTATIONAL_METHOD,CITED_ONLY,True,False,
SRC-PAPAVASSILIOU-2020,"G. Papavassiliou, G. Owens & D. Kosmopoulos, 'include related writing systems (Linear B) as the key to decipherment', 2020; + Papavassileiou et al. 2023 LB LM.",method_paper,cross-script transfer prior art,no,Establishes the 'Linear B as key' cross-script idea PREDATES logos (must-cite). 2023 LB generative LM = the known-side asset.,L_COMPUTATIONAL_METHOD,CITED_ONLY,True,False,
SRC-RAVI-KNIGHT-2011,"S. Ravi & K. Knight, 'Deciphering Foreign Language', ACL 2011.",method_paper,Bayesian/MT-decipherment lineage,no,The IBM-model-style statistical-decipherment root that Luo neuralizes.,L_COMPUTATIONAL_METHOD,CITED_ONLY,True,False,
SRC-SNYDER-2010,"B. Snyder, R. Barzilay & K. Knight, 'A Statistical Model for Lost Language Decipherment', ACL 2010.",method_paper,Bayesian cognate decipherment (method root),no,Non-parametric Bayesian cognate matching (Ugaritic->Hebrew). A method root.,L_COMPUTATIONAL_METHOD,CITED_ONLY,True,False,
SRC-SOMMERSCHIELD-2023,"T. Sommerschield et al., 'Machine Learning for Ancient Languages: A Survey', Computational Linguistics 49(3), 2023. DOI 10.1162/coli_a_00481.",survey,the 240+ paper field map,no,The comprehensive ML-for-ancient-languages map — the reading baseline; sources the entropy-vs-languagehood caution (Rao/Sproat).,L_COMPUTATIONAL_METHOD,CITED_ONLY,True,False,
SRC-BEST-1981,"J. G. P. Best, 'YASSARAM!', Talanta 13 (1981) 17-21 — (j)a-sa-sa-ra-me = vocative 'oh Asherah!'. Refuted for the goddess reading by M. Pope, BICS 8 (1961).",journal_article,Semitic reading OF the GORILA transliteration,no,The a-sa-sa-ra-me Semitic reading. DISPUTED; indexed for decontamination.,L_FRINGE_REGISTRY,CITED_ONLY,False,False,
SRC-CHIAPELLO-2024,"D. Chiapello, 'Deductions on an unknown find ... the Linear A inscribed ivory circle found at Knossos', Academia.edu, posted 2024-02-07.",fringe_registry,"dated PRE-PUBLICATION prediction (registry object, no fringe flag)",no,"Falsifiable pre-pub prediction (greater A/B similarity; Greek-reading reappraisal), scorable when Anetaki II lands. PDF itself login-gated (NOT acquired).",L_FRINGE_REGISTRY,ARCHIVED_PAGE,False,True,e52e31f9be01290d
SRC-DIMINO-2026,"T. Di Mino (2026), 'Ya Diktu: Grammar of the Minoan Peak Sanctuary Libation Formula' (draft). Reads *301 as Semitic N-W-Y 'to dwell'.",fringe_registry,Semitic reading assigning *301 a /na/ value (no cross-script anchor),no,"Quarantined Semitic *301 proposal; internally refuted (his own table draws agglutinative morphology, the opposite of Semitic root-and-pattern). NEVER evidence.",L_FRINGE_REGISTRY,CITED_ONLY,False,False,
SRC-GORDON-1966,"C. H. Gordon, Evidence for the Minoan Language, Ventnor 1966 (syn. of 1957- articles). Reviewed by G. A. Rendsburg, Biblical Archaeologist 59:1 (1996) 36-43.",monograph,West-Semitic reading OF the GORILA transliteration,no,"The canonical West-Semitic proposal (su-pu, ka-ro-pa, ku-ro, ya-ne). DISPUTED; indexed for decontamination. Reads GORILA values -> not independent.",L_FRINGE_REGISTRY,CITED_ONLY,False,False,
SRC-LITINDEX,logos literature_index.json — 93 published/quarantined LA sign-value & reading claims (litindex.py L_known / L_not_indexed partition).,dataset,aggregates GORILA transfers + Semitic + structural + fringe claims,yes,"The decontamination index: what has been PUBLISHED, so regurgitation is caught and can never count as discovery. Spans multiple lineages by design.",L_FRINGE_REGISTRY,INGESTED_MACHINE,False,True,212d2af87980ffd4
SRC-RJABCHIKOV-2025,"S. V. Rjabchikov, 'The Decipherment of two Records of Linear A on the Ivory Mirror from Knossos', Novaya Nauka conf. (Petrozavodsk 2025), 100-106. ISBN 978-5-00215-841-6.",fringe_registry,"fringe reading from PHOTOGRAPHS of KN Zg 57/58, before any transliteration",no,"15 fringe sceptre readings, quarantined (litindex fringe_sceptre_reading). Mechanically gradable vs Anetaki II when it publishes. NEVER evidence.",L_FRINGE_REGISTRY,PDF_IN_HAND,False,True,b4ce36798ad0271c
