method_id,canonical_name,campaign,branch_ref,claim_layer,method_family,implementation_status,scientific_outcome,mechanical_verdict,primary_metric_value,power,licence_earned,contamination_leakage,supersession_relations,record_confidence,_scope
ADMIN-01,Prior-art / novelty audit (blinded cross-script admin schema induction),admin_schema (Blinded Admin Schema Induction),research/blinded-admin-schema-induction,NOT_APPLICABLE (meta / methodology audit),"literature/prior-art audit (agentic workflow wf_dcb6a179-216, 4 clusters)",RUN_EXPLORATORY,NOT_APPLICABLE,NOVELTY_SUPPORTED (combinatorial); 0/20 works satisfy the defining conjunction,"0/20 works satisfy full conjunction (REPORT_ONLY, prior_art_register.csv has 20 rows)",NOT_APPLICABLE,NONE (methodology audit),NOT_APPLICABLE,Precedes ADMIN-02..08,HIGH,admin_structure
ADMIN-02,Source / licence audit + de-phoneticisation blinding design,admin_schema (Blinded Admin Schema Induction),research/blinded-admin-schema-induction,NOT_APPLICABLE (data-prep / design),source audit + feature-transferability design,RUN_EXPLORATORY,NOT_APPLICABLE,No licensing/repro blocker; blinding = map each syllabogram to opaque graphic sign-ID; transliteration/lemma/Greek/gloss -> EVAL_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,NONE,Blinding firewall designed to prevent phonetic-value leak into model-visible graph,Feeds ADMIN-03 graph construction,HIGH,admin_structure
ADMIN-03,"Canonical de-phoneticised transferable document graph (LB + LA), Stage 4 / 4.1 / 4.2",admin_schema (Blinded Admin Schema Induction),research/blinded-admin-schema-induction,L2 (document structure) — data representation; no L3+ output,"graph construction / corpus engineering (build_linear_b_graph.py, build_linear_a_compatible_graph.py, linear_a_structural_recovery.py)","RUN_CONFIRMATORY (built, frozen, 13/13 tests pass)",NOT_APPLICABLE (infrastructure; no scored hypothesis),Frozen graphs; determinism + no-semantic-fields + feature-transferability tests pass,"LA channels recovered (VERIFIED_FROM_ARTIFACT stage4_2 manifest): NUMERAL 1276, ROW 3435, ENTRY 3738, WORD_FORM 3147, SIGN 5792, LOGOGRAM 654, FRACTION 311, MEASURE_MARKER 52; 1056 'other' -> 91% resolved (LOGOGRAM 654/FRACTION 311/OTHER 52/DAMAGED 9/UNRESOLVED 30); scribes recovered 293 (3944/5799 docs); 19 canonical sites",NOT_APPLICABLE,NONE,eval-only sound key gitignored/never redistributed; no LB commodity meaning imported to LA,Underlies ADMIN-04..08 and all no_human_structure work; inherited by observable_channels,HIGH,admin_structure
ADMIN-04,Blind formula-cluster induction (document grouping),admin_schema (Blinded Admin Schema Induction),research/blinded-admin-schema-induction,L2 (document structure),"clustering / grouping (formula_clustering.py, GROUPING_ONLY)",RUN_CONFIRMATORY (blind-by-construction; fold-safety + blindness tests pass),"NOT_APPLICABLE (grouping utility, no scored hypothesis)","GROUPING_ONLY; SAME_FORMULA_CLUSTER edges = 9,432 (VERIFIED_FROM_ARTIFACT manifest lb_edge_counts)","9,432 SAME_FORMULA_CLUSTER edges (VERIFIED_FROM_ARTIFACT)",NOT_APPLICABLE,NONE,explicitly a leakage-control device,Supports splits for the (never-run) modeling stages,MEDIUM,admin_structure
ADMIN-05,LB role ontology freeze (8 coarse / 17 fine classes),admin_schema (Blinded Admin Schema Induction),research/blinded-admin-schema-induction,L4 (functional role) — target definition only; nothing scored,ontology / annotation policy freeze,DESIGNED_NOT_RUN (frozen policy; no gold corpus/splits/models yet),NOT_APPLICABLE,FROZEN (ontology hash 781902c0),QC gate: Krippendorff alpha >= 0.80 primary / 0.67-0.80 provisional (frozen threshold),NOT_APPLICABLE,NONE,leakage rules frozen before any gold labeled,Defines the target that ADMIN-06 pilot tests feasibility of; later shortcut-avoided by observable_channels pivot,HIGH,admin_structure
ADMIN-06,"Automated annotation feasibility pilot (Stage 5.1, model-based double annotation)",admin_schema (Blinded Admin Schema Induction),research/blinded-admin-schema-induction,"L4 (functional role) — feasibility of gold, not a reading","annotation feasibility pilot (two model annotators, different framings, + adjudication; wf_4ab5c3e6-b55)","RUN_EXPLORATORY (dev-only, verdict not retuned)",NO_POWER,NO_POWER (alpha 0.614 < 0.667 primary-gold threshold),Krippendorff alpha=0.614 (raw 0.725); GOLD_A agreed yield 5.6% (9/160); nontrivial GOLD_A agreed=4 (KN 0/nonKN 4/hapax 1); est unseen-form GOLD_A ~39 units; est nonKN GOLD_A ~140 units (all VERIFIED_FROM_ARTIFACT pilot_stats.json),"min detectable K=16 at p=0.40 vs 1/8 null, 80% power; unseen-form (~39) and nonKN (~140) partitions would be powered IF agreement adequate; but alpha fails first -> power 0.0 in practice",NONE,pilot items burned from future sealed holdout (pilot_exclusion_manifest.json),Motivates ADMIN-07 (human package) and the whole no_human pivot; NOT retuned,HIGH,admin_structure
ADMIN-07,Human-expert annotation package (blinded double annotation) — gate BLOCKED,admin_schema (Blinded Admin Schema Induction),research/blinded-admin-schema-induction,L4 (functional role) — gold feasibility,human annotation package prep + refuse-without-data ingestion tooling,DESIGNED_NOT_RUN (BLOCKED: QUALIFIED_HUMAN_ANNOTATORS_REQUIRED; no human data exists),INCOMPLETE,BLOCKED / UNTESTED — validate/compare/adjudicate tools REFUSE without genuine submissions; no agreement computed,NONE COMPUTED (blocked); gate = frozen 0.80/0.667 alpha (to be applied only after two genuine submissions),would test whether real humans clear the bar on securely-classifiable subset that models failed,NONE,reading-bearing packets gitignored (DAMOS courtesy); templates/manifest/hashes/code committed,Owner constraint -> pivot to no_human_structure programme (parent of everything downstream),HIGH,admin_structure
NOHUM-01,Source-label dependency audit (DAG) — shared-decipherment ruling,no_human_structure (No-Human Structural Decipherment),research/no-human-structural-decipherment,"NOT_APPLICABLE (source-dependency audit, Art. XI)",source-dependency graph / provenance audit,RUN_CONFIRMATORY,NOT_APPLICABLE (structural ruling),All content-role sources descend from same primary editions + the single 1952 decipherment => ONE SHARED_DECIPHERMENT vote; only STRUCTURAL_RULES is EDITION_INDEPENDENT,content-role labels all in ONE SHARED_DECIPHERMENT cluster (93 forms) (VERIFIED_FROM_ARTIFACT source_labels_summary.json dependency_clusters),"forecasts a thin non-trivial SILVER_A pool (a NO_POWER route to test, not assume)",NONE,prevents false 'independent consensus' inflation of gold,Determines feasibility ceiling for NOHUM-02/03; forecast confirmed by NOHUM-04 power gate,HIGH,admin_structure
NOHUM-02,Deterministic source-derived label corpus (Stage 3),no_human_structure (No-Human Structural Decipherment),research/no-human-structural-decipherment,L4 (functional role) — label corpus,"deterministic label extraction from cited indexes (lb_indexes.py, build_source_labels.py)",RUN_CONFIRMATORY,NOT_APPLICABLE (corpus build; feasibility fed to power gate),66 non-trivial REFERENCE_GOLD_A; only 2 of 4 load-bearing classes present (OPERATOR + QUALIFIER absent),"66 REFERENCE_GOLD_A (PLACE 43 / HUMAN_OR_INSTITUTION 23); 2 of 4 load-bearing classes absent (OPERATOR_OR_RELATION, QUALIFIER) (VERIFIED_FROM_ARTIFACT)","forecasts NO_POWER (thin non-trivial pool, 2 classes missing)",NONE,index labels share source with any future gold (circularity noted downstream),Feeds NOHUM-03 weak supervision + NOHUM-04 power gate,HIGH,admin_structure
NOHUM-03,"Weak-supervision labeling functions (13 LFs, WS0-4) + circularity audit",no_human_structure (No-Human Structural Decipherment),research/no-human-structural-decipherment,L4 (functional role) — weak labels,programmatic weak supervision (Snorkel-style; run_weak_supervision.py),RUN_CONFIRMATORY,NULL (edition-independent structural signal ~0; index-LF precision is circular),coverage 0.71 / abstain 0.29 / conflict 0.044; index-LF precision on gold=1.0 CIRCULAR; honest EDITION_INDEPENDENT structural signal precision=0.026,coverage 0.7081; conflict 0.0441; abstain 0.2919; edition-independent structural precision 0.026 (report/power_gate); index-LF precision on gold 1.0 = circular (VERIFIED_FROM_ARTIFACT weak_supervision_metrics.json + power_gate.json),structural signal 0.026 << majority baseline 0.652 -> no usable edition-independent signal,NONE,circularity explicitly flagged: index LFs share source with gold,Feeds NOHUM-04 power gate (est O2+D8 0.291),HIGH,admin_structure
