designation,site,description,publication,year,pages,translit_printed(yes/no/partial),accessibility(open/paywalled/pending_edition),notes,channel
ARKH Zb,Arkhanes,"clay object (support unspecified), inscription not published",unpublished; listed in Del Freo & Zurbach 2011 (BCH 135),2011,86,no,pending_edition,"Younger (misctexts, 2023 state): 'Inscription not published.'",younger-pointer
ARM Zg 1,Armenoi,sealstone CMS V Suppl. 1B no. 310 (Rethymnon Mus. S.179); sign *301+*311 {*606}; LM II/IIIA context,CMS V Suppl. 1B no. 310; Del Freo & Zurbach 2011 p. 86,1993,no. 310,partial,open,DF&Z: 'doubtful inscription'; Younger: most likely a MM II stamp seal with random lines. CMS digitized open on Arachne; print volume paywalled.,younger-pointer
GO Wc 3,Gournia,"disk roundel (ex inv. 12.183), palace room 16, LM IB","Watrous et al., 'Excavations at Gournia 2010-2012', Hesperia 84 (2015)",2015,446-448,yes,paywalled,"Younger prints the roundel text. Sibling GO 2 (same publication, pp. 443-446) already in inventory as GO2r/GO2v. Hesperia on JSTOR; check ASCSA OA portal.",younger-pointer
HT Wc 3023,Haghia Triada,"roundel HMs 1177, one seal impression, no sign text, LM IB","Hallager 1996a, The Minoan Roundel (Aegaeum 14), Roundel 2: 33; Del Freo & Zurbach 2011 p. 86",1996,Roundel 2: 33,no,paywalled,No text (seal impression only) - Younger brackets the designation; DF&Z-listed as absent from GORILA. May be legitimately excluded from a sign corpus.,younger-pointer
HT Zf 166,Haghia Triada,"bronze oxhide ingot, Villa space 7, single sign *323","Raison & Pope, Corpus transnumere du lineaire A (2nd ed., BCILL 74)",1994,133,yes,paywalled,"Single sign. GORILA coverage ambiguous: Younger cites only Raison-Pope for Zf 163-167, yet siblings Zf 163-165/168 are in the inventory - verify against GORILA IV before treating as a gap.",younger-pointer
HT Zf 167,Haghia Triada,"bronze oxhide ingot, Villa space 7, single sign *308","Raison & Pope, Corpus transnumere du lineaire A (2nd ed., BCILL 74)",1994,134,yes,paywalled,"Same ambiguity as HT Zf 166. (HT Zf 169 excluded: Younger: 'two marks, not Linear A'.)",younger-pointer
HT Zg 163,Haghia Triada,"pierced stone weight HTR 1716, MM IIIB-LM IA, single fraction sign F","Militello, 'Un peso (?) con segno inciso da Haghia Triada (HT Zg 163)', ASAtene 66-67 (1988-1989) 163-172; also Perna 2003 (Aegaeum 24) 346, pl. LXVIIIi",1988-1989,163-172,yes,paywalled,Inventory has no HT Zg series at all.,younger-pointer
KAST Wy 1,Kastelli,nodulus (Wy),"unpublished; 'Rapport 2001-2005', 203-204 (per Younger); Del Freo & Zurbach 2011 p. 87: unpublished",,203-204,no,pending_edition,Venue of the 'Rapport' not resolvable from the archived pages (cf. Del Freo rapport series); no text printed.,younger-pointer
KE 6,Kea (Ayia Irini),tablet fragment,"Caskey 1970, p. 109, fig. 2.2, pl. 1.2a-b (venue not stated on archived page; Caskey's Kea inscriptions paper = Kadmos 9?); Del Freo & Zurbach 2011 p. 87",1970,109,no,paywalled,DF&Z call it 'uninscribed fragment of a tablet'; Younger cross-references KE Zb 6 (already in inventory) 'immediately below' - possible duplicate identity. Ambiguous.,younger-pointer
KE Zb 8,Kea (Ayia Irini),"clay disc Kea Mus. 283, single sign WE or fraction D","no formal Linear A edition cited; Petruso, Keos VIII (1992) p. 64 discusses it as a balance weight (per Younger)",1992,64,partial,pending_edition,Listed unnumbered ('KE Zb') in misctexts; numbered KE Zb 8 on Younger's main page (single-sign 'non-inscription' he includes anyway).,younger-pointer
KH 93,Khania,"page tablet KH Mus. 93, House II?","Hallager, 'New Evidence of Linear A Archives from Khania', Kadmos 25 (1986) 115; Del Freo & Zurbach 2011 p. 87",1986,115,no,paywalled,DF&Z: 'uninscribed fragment of a tablet'. Sibling KH 92 (same article) is in inventory.,younger-pointer
KH 96,Khania,"page tablet, LM IB","Hallager, Vlasakis & Markoulakis, 'New and Hitherto Unpublished Linear A Documents from Kastelli, Khania', Kadmos 30 (1991) 39-40",1991,39-40,yes,paywalled,Siblings KH 94/95 (same article) are in inventory; KH 96 is not.,younger-pointer
KH Wc 2074,Khania,"roundel (Katre archive), LM IB, vestigia only","Hallager 1996a, The Minoan Roundel (Aegaeum 14), Roundel 2: 112; Del Freo & Zurbach 2011 p. 88",1996,Roundel 2: 112,partial,paywalled,'vest.' only per Younger; sibling KH Wc 2079 in inventory.,younger-pointer
KH Wc 2121,Khania,"roundel, vestigia only","Hallager 1996a, The Minoan Roundel (Aegaeum 14), Roundel 2: 155; Del Freo & Zurbach 2011 p. 88",1996,Roundel 2: 155,partial,paywalled,'vest.' only; siblings KH Wc 2122-2124 in inventory.,younger-pointer
KH Wn 1501-1557,Khania,"noduli series from the Katre archive (57 items, range statement only)","publication ambiguous: adjacent KH Wa/Wc Katre series cite GORILA III; cf. Hallager 2002, 'One Linear A Tablet and 45 Noduli', Creta Antica 3: 105-109",,,no,open,AMBIGUOUS: Younger states the range but gives no per-item entries or texts on the archived page; inventory contains NO 'KH Wn' items. Verify GORILA III / CMS V Suppl. 1A coverage and whether the noduli carry Linear A signs at all before treating as a 57-item gap.,younger-pointer
KN Wb 50,Knossos,"nodule HMs 1236 (findspot unknown), single sign *301 + seal impression","Hallager 1995, Proceedings of the Danish Institute at Athens 1, 9-10, fig. 1; Del Freo & Zurbach 2011 p. 88",1995,9-10,partial,open,DF&Z cite it s.n. KN Wa 50. PDIA vol. 1 is OA on the Danish Institute site (best assessment).,younger-pointer
KN Wb 51,Knossos,"nodule HMs 369 (findspot unknown), face a single dot; ring impression battle scene","Hallager 1995, Proceedings of the Danish Institute at Athens 1, 10-11, fig. 3; Del Freo & Zurbach 2011 p. 88",1995,10-11,partial,open,"Sign content minimal (dot); inclusion in a sign corpus questionable - noted, not assumed.",younger-pointer
KN Zb 57,Knossos,"jug, MM IIIB context, reading PO-ZU-QI","Kanta 2018, in Crete Emerging Cities: Aptera-Eleutherna-Knossos (exhibition catalogue, Athens), p. 278 no. 56",2018,278,yes,paywalled,Exhibition catalogue (print).,younger-pointer
"KN Zb (unnumbered, Brice KN Z 36)",Knossos,sherd,"Brice, CTLA (1961), 238 s.n. KN Z 36; Del Freo & Zurbach 2011 p. 89",1961,238,partial,paywalled,"AMBIGUOUS: Younger lists it adjacent to KN Zb 56 (in inventory), which Raison-Pope also equate with Brice KN Z 36 - possibly the same object; verify identity before counting as a gap.",younger-pointer
