designation,site,description,publication,year,pages,translit_printed,accessibility,notes,channel,sources,class
KN Zb 36a-d,Knossos,"Four AB 131a signs on one pithos, Western Magazine IX: GORILA IV KN Zb <36>/<37> renumbered 36a/36b (Firth), plus 36c (Boskamp 1991-92) and 36d (Christakis)","Boskamp 1996 ABSA 91, 101-112; Christakis 2005, 60; Firth 2016 Minos 39, 229-247; rapport pp. 98-99",1996,rapport pp. 98-99,yes,open,"AMBIGUITY: script attribution uncertain — A 131a and Linear B VIN homomorphic; Brice dates pithos LM I, Christakis LM IIIA (could be Linear B); KN Zb <38> identification with Boskamp's third sign uncertain",delfreo-rapport,delfreo-rapport,a_ingestible
KN Zg 57,Knossos (Bougada Metochi / Anetaki plot),"Ivory ring, quadrangular section, diam. ~13.7 cm; LA syllabic sequences + logograms incised on four sides; found 2016 (Kanta), neopalatial cult building Room 1 (Herakleion Ephorate D 3460/D 3458)","INEDIT at rapport date; ed.pr. by Kanta, Nakassis, Palaima & Perna in preparation; overview: Kanta et al., KO-RO-NO-WE-SA (Ariadne Suppl. 5) 27-43; Kanta 2019, 250-252 cat. 280",2024,rapport p. 99,no,pending_edition,"Rapport describes but prints NO reading; the Kanta et al. overview article (same OA volume, already in corpus/bronze/kanta_etal_2024_anetaki) is the interim source; check whether ed.pr. has since appeared | [younger-pointer] pub: Kanta 2018 (Crete Emerging Cities exh. cat.), pp. 328, 336 no. 280; text edition announced for Kadmos (2023) per Younger (2018), pp. 328; 336; Younger (Aug 2023): 'Kanta will be publishing the Linear A text in the next Kadmos (2023)' - verify whether that edition has since appeared (post-dates the archived page). | MERGED same-object: Younger's unnumbered 'KN Zh' ivory sceptre (Kanta 2018 exh. cat. no. 280, D. 13.7 cm) identified with KN Zg 57 on cat.-number + dimensions; designation-letter discrepancy (Zg vs Zh) noted, verify when Kanta et al. ed.pr. appears.",delfreo-rapport,delfreo-rapport;younger-pointer,c_pending_edition
KN Zg 58,Knossos (Bougada Metochi / Anetaki plot),"Ivory bar, quadrangular section, 13.2 cm; LA signs incised on four sides + one end; same 2016 votive deposit as KN Zg 57 (possible sceptre handle)","INEDIT at rapport date; ed.pr. by Kanta, Nakassis, Palaima & Perna in preparation; overview: Kanta et al., KO-RO-NO-WE-SA (Ariadne Suppl. 5) 27-43; Kanta 2019, 250-253",2024,rapport pp. 99-100,no,pending_edition,Rapport prints NO reading; same interim source as KN Zg 57,delfreo-rapport,delfreo-rapport,c_pending_edition
(unassigned; Kommos vase fragment 2019),Kommos,"Inscribed vase fragment found by a tourist on Kommos parking lot summer 2019, handed to Herakleion Ephorate; 3 lines between guide lines, line 2 = sequence of 3 signs",Unpublished; reported to Del Freo by A. Greco (pers. comm.),,rapport p. 100,no,pending_edition,AMBIGUITY: 'pourrait être en linéaire A' — script attribution unconfirmed; no designation assigned; no reading printed,delfreo-rapport,delfreo-rapport,c_pending_edition
PE 6,Petras,"Tablet fragment previously PE <6> (lost/unlocated), relocated 2017 in Siteia Museum storerooms by Del Freo & Zurbach; reclassified PE <6> -> PE 6","Status note in rapport (cf. Rapport 2011-2015, 13); GORILA for the text",2024,rapport p. 103,no,open,"Bookkeeping change only (brackets removed); no new reading printed; affects designation normalization in inventory | [younger-pointer] pub: Hallager, 'Literacy at Petras and Three Hitherto Unpublished Linear A Inscriptions', in Tsipopoulou (ed.), Petras Siteia - 25 Years (Monographs of the Danish Institute at Athens 16, 2012) 267-269, fig. 3; Del Freo & Zurbach 2011 p. 91 (2012), pp. 267-269; Danish Institute monographs are largely OA PDFs (best assessment; else paywalled print). Other PE items (PE 1-2, Ws, Wy 5, Zb 3/7/8, Zc 4, Zg 5/6) already in inventory.; translit_printed=yes per that source | [sigla] pub: SigLA database entry (2026); ABSENT from inventory under space/dot/case/side normalization — candidate post-GORILA or differently-sourced item, or a document whose signs were never parsed into the silver layer; verify against GORILA / first edition before treating as a true corpus gap. translit: SigLA stores sign-by-sign editorial transcriptions (verified on sample pages ARKH 7, KH Wc 2026); this item's own page not fetched in this pass (no bulk scraping), so marked partial.; translit_printed=partial per that source",delfreo-rapport,delfreo-rapport;younger-pointer;sigla,c_pending_edition
(unassigned; Phaistos Hagia Photini fragment),Phaistos (Hagia Photini),"Vase fragment (inv. SAIA F8308) found 2017, Italian mission excavation; two 2-sign sequences incised after firing (wall + lip); vase form suggests protopalatial; signs possibly LA, difficult",Unpublished; publication assigned to A. Greco,,rapport pp. 103-104,no,pending_edition,"AMBIGUITY: 'seraient rapportables au lineaire A' per Greco; no designation, no reading printed; check for Greco publication after 2021",delfreo-rapport,delfreo-rapport,c_pending_edition
(unassigned; Phaistos Chalara fragment),Phaistos (Chalara),"Vase fragment with signs incised after firing, found 2017 in stratigraphic sounding, archaic pit (ceramic date LM III, Greco prefers neopalatial by the inscription); Greco reads AB 39-58 A301+A303 (alt. AB 21f+A303); Godart: AB 21f 20 (or 30) = ostracon with commodity annotation","Greco 2022, Pasiphae 16, 153-166",2022,rapport p. 104,yes,open,Candidate readings printed in rapport with detailed doubts (AB 39 shape anomalous; proposed ligatures unattested); ed.pr. Pasiphae 16 (Serra) paywalled; no GORILA-style designation given,delfreo-rapport,delfreo-rapport,a_ingestible
(Zominthos libation table),Zominthos,"Stone stepped-pyramid libation table, found 2013 (Sapouna-Sakellaraki), Central Building Room 53, MM III-LM I; 14 incised signs, some resembling AB 04/77/02/44/28/86","Sapouna-Sakellaraki 2015 (Prakt), 282-283, Fig. 15, Pl. 167; cf. Rapport 2011-2015, 15",2015,rapport pp. 104-105,partial,open,"NEGATIVE VERDICT: rapport judges an LA inscription 'tres improbable' — signs likely masons' marks (matches Hood 2020 types); candidate sign IDs printed; EXCLUDE from LA corpus unless overturned | [younger-pointer] pub: unpublished; news reports only (To Vima 11 Aug 2013; News Network Archaeology 15 Aug 2013) (2013); AMBIGUOUS vs inventory: inventory contains ZO1 (Zominthos, 2 parsed signs) - possibly the same object under a different id; verify before counting as a gap. Inscription itself unpublished as of Younger's last update.; translit_printed=no per that source; accessibility=pending_edition per that source | MERGED same-object: Younger's ZO Za 1 (3-tier libation table, 2013 news reports) = this find; rapport's masons'-marks verdict vs Younger's LA listing is an open dispute; inventory item ZO1 possibly the same object — verify before counting as a gap OR as a removal.",delfreo-rapport,delfreo-rapport;younger-pointer,b_acquisition_gap
THE Zb 14,Thera (Akrotiri),Graffito on lamp (EfA inv. V 15); findspot between Xeste 2 and Complex Delta or Sector Beta; possible reading AB 09-A332 2 (doubts persist),"Tzachili & Karnava 2016, Minos 39, 27-40",2016,rapport pp. 105-106,yes,open,"NUMBERING AMBIGUITY: editors number it Zb 15, rapport argues for Zb 14 (per Rapport 2001-2005, 210 vs Rapport 2006-2010); normalize carefully; Minos is OA on journal site (unverified)",delfreo-rapport,delfreo-rapport,a_ingestible
VRY Za 4 (?),Vrysinas (Rethymnon Museum),"Fragment of stone libation table (inv. L 4098), one sign + possible traces of second; AB 10-.[ — surviving sign without exact parallel, vague resemblance to AB 10 variants on Iouktas tables (IO Za 2b.2, Za 6)","Tzachili & Georgakopoulos 2015, ibid. (295, Fig. 9)",2015,rapport p. 108,yes,open,Provisional classification assigned by rapport; reading printed with heavy uncertainty,delfreo-rapport,delfreo-rapport,a_ingestible
