approx_size,format,gitignored,licence_or_terms,path,provenance_source,records_count_if_cheap,redistributable,relevant_to,what_it_is
4.5K (5 lines),TSV-ish text,yes (corpus/bronze/*),n/a (metadata),corpus/bronze/MANIFEST.txt,"generated by fetch_ugaritic.py from GitHub raw URLs (ftamburin/CSA_OptMatcher, j-luo93/NeuroDecipher)",4,yes,provenance/audit support for any cross-script experiment (E-IDs E201-E211 undefined in repo; see gaps),"Bronze provenance manifest, but ONLY for the 4 .cog files fetched by scripts/fetch_ugaritic.py (hash, size, path, source URL)"
203K,JSON list,yes (corpus/silver/*.json),upstream has no open licence (GORILA/lineara.xyz-derived),corpus/silver/inscriptions.json,normalized from GORILA via lineara.xyz (per .gitignore comment: 'derived from GORILA (lineara.xyz has no open license)'),1341,no,core input for any LA text/structure/segmentation/frequency experiment,"THE primary Linear A silver corpus: 1,341 inscriptions with id/site/context/support/signs"
725K,JSON list,yes,same as inscriptions.json — no open upstream licence,corpus/silver/inscriptions_structured.json,derived from inscriptions.json (GORILA/lineara.xyz lineage),1341,no,"word-level experiments: segmentation, morphology, ledger structure, prefixation","Same 1,341 inscriptions with word-segmented view: id/site/context/support/words/stream/signs"
~1-1.5K each + ~64K per stream file,JSON dict,yes,derived from unlicensed GORILA lineage,"corpus/silver/inventory_syllabograms_{raw,conservative,exploratory}.json (+ .stream.json)",generated from the silver corpus (counts-are-generated invariant #12),"V=92/88/131 sign types; N~5,171 tokens",no,any experiment needing the sign inventory / entropy-budget / effective-n arithmetic,"Three syllabogram inventory framings: raw V=131/N=5117, conservative V=92/N=5171, exploratory V=88/N=5171; .stream.json = per-token streams"
45K,JSON dict,yes,derived from unlicensed GORILA lineage,corpus/silver/signs_ontology.json,built from silver corpus + GORILA sign conventions,166,no,sign-identity (L1) and logogram/functional-role experiments,"Sign ontology: 166 entries incl. logograms (LOGO:*21F etc.), rare signs (*301, *118...)"
84K,JSON dict,yes,factual claim excerpts; underlying papers variously licensed,corpus/silver/literature_index.json,seeded from acquired literature incl. Rjabchikov 2025 fringe readings,93 claims,unclear,leakage/contamination gating in every experiment; grading fringe claims when Anetaki II publishes,"Quarantine index of published LA claims: 93 claims, 8 citations (feeds scripts/comparison/litindex.py so models cannot return known readings as discovery)"
0,(none present),"yes (corpus/gold/*.duckdb, *.parquet)",n/a,corpus/gold/,generated from silver,0,no (would inherit silver lineage),any experiment expecting a queryable store — regenerate first,EMPTY (only .gitkeep). The queryable gold store (*.duckdb/*.parquet) is generated from silver and is currently absent — must be rebuilt
27K total,JSON dict per inscription,NO — tracked/committed,minimal factual excerpts from a CC BY-NC-SA 4.0 article,"corpus/derived/post_gorila_additions/{kn_zb_36a-d,ph_chalara_2017,the_zb_14,vry_za_4}.json","Del Freo, Rapport 2016-2021, KO-RO-NO-WE-SA (Ariadne Suppl. 5), pp. 98-108, sha-pinned",4,yes (committed to repo; tracked in git),corpus-completeness and held-out/prospective evaluation,"4 post-GORILA inscription additions with words/certainty/source/page (PH Chalara=PI-SU, THE Zb 14=SE-*332, VRY Za 4=U, KN Zb 36a-d words=[])"
851K,HTML + derived TXT (6 pairs) + PROVENANCE.md,yes,"UNSTATED (personal scholarly webpage, no licence)",corpus/bronze/younger_lineara/,web.archive.org id_ captures of people.ku.edu/~jyounger/LinearA/ (server decommissioned 2024); SHA-256s in PROVENANCE.md,6 archived pages,no,"toponym anchors, lexicon cross-checks, libation-formula structure; secondary pointer only (never a transliteration source for new items)","John G. Younger's Linear A site (Wayback captures of defunct KU pages, 2023 states): main+intro w/ place names, lexicon, HT texts, non-HT texts, religious/libation texts, bibliography; .txt strips derived for grep"
1.3M,HTML + JS blob + decoded JSON,yes,"CC BY-NC-SA 4.0 (site footer, verbatim per PROVENANCE.md and docs/sigla_decode.md)",corpus/bronze/sigla_browse_2026/,https://sigla.phis.me/ (Salgarella & Castellan; GORILA-based + post-GORILA additions to 2026-06-26); decoded via scripts/sigla_decode.py,802 documents / 376 signs,"technically NC-SA-permitted, but house policy = NOT redistributed",palaeography/sign-variant experiments; per-glyph bbox data; independent transcription cross-check vs silver; corpus-completeness (post-GORILA items),"SigLA palaeographical DB snapshot (2026-07-03): landing/about/browse HTML, database.js (OCaml Marshal blob), DECODED sigla_documents.json (802 docs w/ transcription+glyph bboxes) + sigla_signs.json (376 signs) + doc_list_extracted.json (802 designations); 2 sample doc pages"
