epoch_id,title,method_family,layer,verdict,bucket,bucket_source,dichotomy_side,licence_effect,la_touched,plan_hash,completed,artifact_paths
EPOCH-001,,F8/F1,,RESOLVED_PUBLISHED_PARTIAL,OTHER,heuristic,,,,,,
EPOCH-002,higher-order substitution motifs (trigram-frame / formula-slot / site-stratified),F3,L2,within_script:MOTIF_WITHIN_EQUIVALENT / cross_script:MOTIF_CROSS_SUPERIOR,POSITIVE_RELATIVE,heuristic,,none,,09c55c9e42406393d278299569007d085e1bc9c558ca388ca4715f76b34cadae,2026-07-08,epochs/EPOCH-002/result.json; reports/EPOCH002_SUBSTITUTION_MOTIFS.md; data/motifs/
EPOCH-003,seed-poverty + corpus-power surface for the trigram-frame motif bridge,F3,L2,BRIDGE_NOT_VIABLE_AT_LA_SEED_BUDGET,BOUNDED_NEGATIVE,heuristic,,none,,be6dd7e786d373df3cad5c9b9bdba9b1786e6d98629a6c211eee9e8901e025d6,2026-07-08,epochs/EPOCH-003/result.json; reports/EPOCH003_SEED_POVERTY_SURFACE.md; data/motifs/seed_poverty/
EPOCH-004,,F10,L2/L3,SEAL_FROZEN_PROSPECTIVE,PROSPECTIVE_SEAL,heuristic,,none,,da6e024832d2dc75f1c2ecf91ce36179fa425671def15220736cfe724a4ba4ef,2026-07-08,epochs/EPOCH-004/result.json; reports/EPOCH004_FRACTION_SEAL.md; data/seals/FRACTION_ORDER_ANETAKI_SEAL.json
EPOCH-005,,F8,,PROVENANCE_ESTABLISHED + ERRATUM_REQUIRED,OTHER,heuristic,,,,,,
EPOCH-006,,F3,L2,SEED_EFFICIENCY_NOT_ACHIEVED,OTHER,heuristic,,none,,23fc9fd26a77923466dc26a3d2c9d5dd84ea003442c9bf1ddfc4cfb20c8fd4df,2026-07-08,epochs/EPOCH-006/result.json; reports/EPOCH006_SEED_EFFICIENT_ESTIMATORS.md; data/motifs/seed_efficient/E006_result.json
EPOCH-007,ledger-role induction as anchor constraints (blind slot roles W/C/U/T from document structure),F5,L2/L3,ROLE_INDUCTION_NO_POWER,BOUNDED_NEGATIVE,heuristic,,none,,6c85277da7c4e5d30abdd12bca084db4076c4f12e334225f5a5c535dfc2be566,2026-07-08,epochs/EPOCH-007/result.json; reports/EPOCH007_LEDGER_ROLES.md; data/ledger_roles/
EPOCH-008,,F2,L1,STROKE_RECOVERY_PARTIAL,OTHER,heuristic,,none,,67ea9ac471221ec91ebe1067d3696af725b14951d443637c4c9574fa6181e6a2,2026-07-08,epochs/EPOCH-008/result.json; epochs/EPOCH-008/result_addendum1.json; reports/EPOCH008_STROKE_PILOT.md; data/stroke_pilot/
EPOCH-009,,F2,L1,STROKE_CHANNEL_CALIBRATED_USEFUL,OTHER,heuristic,,none,,ec87a23b87d0c984ba47e79d6b9d8dfd0d83f397fa5a1f05cb188e3cc8d88cdc,2026-07-08,epochs/EPOCH-009/result.json; epochs/EPOCH-009/posthoc.json; reports/EPOCH009_STROKE_CORPUS_SWEEP.md; data/stroke_corpus/
EPOCH-010,,F3,L2,DOOR_MARGINAL,OTHER,heuristic,,none,,0380e6c327b72fa1a0e65d9d95dff93572de95b783fb70e2c4de9783daa878fe,2026-07-08,epochs/EPOCH-010/result.json; reports/EPOCH010_CHANNEL_CAPACITY.md; data/motifs/capacity/
EPOCH-011,,F5,,BOTH_DETECTORS_NO_POWER,BOUNDED_NEGATIVE,heuristic,,,,,,
EPOCH-012,scribal/site allograph structure (first productive use of the E009 stroke channel),F6,L1,ALLOGRAPH_STRUCTURE_CONFOUNDED,OTHER,heuristic,,none,,a051ea371c3e6ac74f5b35d30fa52084e7023644a90f5135c29c75bf97818969,2026-07-08,epochs/EPOCH-012/result.json; reports/EPOCH012_ALLOGRAPH_STRUCTURE.md; data/stroke_corpus/allograph_structure/
EPOCH-013,component-decomposition matcher (attack the E009 coverage ceiling),F2/F9,L1,DECOMPOSITION_NEUTRAL,OTHER,heuristic,,none,,76ea706c1243e2decbd73d07f0ff6cc68b126bfee98c2177f6e57aad304b06e0,2026-07-08,epochs/EPOCH-013/result.json; reports/EPOCH013_COMPONENT_MATCHER.md; data/stroke_corpus/component_matcher/
EPOCH-014,register-stratified phonotactics (value-free strata test),F7,L2,REGISTER_STRATA_NO_POWER,BOUNDED_NEGATIVE,heuristic,,none,,017c615febb848749e72c941789542e5dce214ca0b956a8eda6400ede7be2ff9,2026-07-08,epochs/EPOCH-014/result.json; reports/EPOCH014_REGISTER_STRATA.md; data/register_strata/
EPOCH-015,"segmentation-marginalized morphology (word boundaries latent; affixes induced by marginalizing over a calibrated boundary distribution, K=20)",F4,L2/L3,MARGINALIZATION_HELPS_WHERE_TRUTH_KNOWN__PC_LB_GATE_VACUOUS__A_PREFIX_ROBUST_REPORTED__NO_NEW_LA_AFFIX,POSITIVE_RELATIVE,heuristic,,none,True,d35828be6ebb610541884d8cef48e55bda229d0b8d9429870c26bade13c32024,2026-07-08,epochs/EPOCH-015/prereg.md; epochs/EPOCH-015/plan_hash.txt; epochs/EPOCH-015/DEVIATIONS.md; epochs/EPOCH-015/result.json; reports/EPOCH015_MARGINALIZED_MORPHOLOGY.md; scripts/e015_lib.py; scripts/e015_pc_lb.py; scripts/e015_pc_lb2.py; scripts/e015_synth.py; scripts/e015_la.py; data/marginalized_morp
EPOCH-016,simulation-based inference pilot (known-script calibration only),F9,L2,SBI_MATCHES,BOUNDED_NEGATIVE,heuristic,,none,False,a15faa74d93febf92992dc4248eef7f6e52db9478d371c46c71c314c79e83ddf,2026-07-08,epochs/EPOCH-016/prereg.md; epochs/EPOCH-016/plan_hash.txt; epochs/EPOCH-016/result.json; epochs/EPOCH-016/run.log; reports/EPOCH016_SBI_PILOT.md; data/sbi_pilot/E016_result.json; data/sbi_pilot/E016_run.log; data/sbi_pilot/E016_smoke_simonly.json
EPOCH-017,photograph/second-rendering allograph de-confound of E012's doc->site tracer confound (feature-partition fallback: rendering-invariant topology INV vs rendering-sensitive curve/ori,F6,L1,"SITE_ALLOGRAPH_REAL (frozen rule, on INV/topology partition) -- HONESTLY QUALIFIED: carried entirely by leg1 (pairwise within<cross-site spread), which fires on BOTH INV (T .177, p_holm .0004) AND SEN (T .145, p_holm .0004) -> real data are the PC's MIXED scenario, not the clean topology-only scenario the rule was designed for; leg2 (doc->site classifier) remains CONFOUNDED after partition (INV ba",QUALIFICATION,heuristic,,none,True,3b527541f2ed427028fff73c5264394b874150257833c0f5f6cc32b0b48624c9,2026-07-08,epochs/EPOCH-017/prereg.md; epochs/EPOCH-017/plan_hash.txt; epochs/EPOCH-017/result.json; epochs/EPOCH-017/DEVIATIONS.md; scripts/e017_allograph_deconfound.py; data/allograph_deconfound/; reports/EPOCH017_ALLOGRAPH_DECONFOUND.md
EPOCH-018,dedicated adaptive-null family (>=200 realizations) for the E013 component-decomposition cross-script channel,§12 (dedicated adaptive-null family 1 of 3),L1,"CHANNEL_SURVIVES_ADAPTIVE_NULL -- observed exceeds all 999 null draws (null mean .0597, sd .0098, p95 .0774, max .0959); ~19 null-SDs above mean, 4.14x null mean; p_adaptive_raw .001, Bonferroni-deflated over K=3 (E008/E009/E013 architectures) = .003 < alpha .01.",BOUNDED_NEGATIVE,heuristic,,none,False,b0dd95792b5c9a2eaa4c6814f4d537c1d51d137eaba6e5ae492f0523640ddc45,2026-07-08,epochs/EPOCH-018/prereg.md; epochs/EPOCH-018/plan_hash.txt; epochs/EPOCH-018/result.json; epochs/EPOCH-018/DEVIATIONS.md; scripts/epoch018_decomp_adaptive_null.py; data/decomp_adaptive_null/; reports/EPOCH018_DECOMP_ADAPTIVE_NULL.md
EPOCH-019,component-channel value-recovery identifiability surface (anchor-budget x channel-quality -> value-class ARI),§12 (third power surface — ATTEMPT 1),L1,"HARNESS_NOT_VALIDATED (mechanical, fail-closed) -- the surface as designed does not clear its own PC, so NO certified claim about LA's component-channel value-recovery point is licensed. Root cause diagnosed: concatenated equal-noise one-hot representation makes same-row and same-column pairwise distances numerically identical, so no Euclidean method can separate the axes without already knowing t",OTHER,heuristic,,none,descriptive only (uncertified; PC failed at every cell incl. non-LA cells),,2026-07-08,epochs/EPOCH-019/prereg.md; epochs/EPOCH-019/plan_hash.txt; epochs/EPOCH-019/DEVIATIONS.md; epochs/EPOCH-019/result.json; reports/EPOCH019_COMPONENT_POWER_SURFACE.md; scripts/epoch019_component_power_surface.py; scripts/epoch019_posthoc_seeded.py; data/component_power_surface/
EPOCH-020,dedicated matched-marginal adaptive-null family for the E017 leg1-topology (INV) site-allograph signal,§12 (dedicated adaptive-null family 2 of 3),L1,"SITE_ALLOGRAPH_SURVIVES_ADAPTIVE_NULL (INV partition) -- aggregate T_obs 0.1767 exceeds the max of 10,000 restricted-null draws (0.1452); adaptive p at 1/10001 floor; per-sign Holm family false-graduation rate 0.0000. BUT NARROWED: only 1 of 60 signs individually clears Holm (2nd-smallest p 0.0002 just misses) -> the signal is CONCENTRATED in one (possibly two borderline) sign, NOT broadly distrib",BOUNDED_NEGATIVE,heuristic,,none,True,,2026-07-08,epochs/EPOCH-020/prereg.md; epochs/EPOCH-020/plan_hash.txt; epochs/EPOCH-020/result.json; reports/EPOCH020_ALLOGRAPH_ADAPTIVE_NULL.md; scripts/; data/allograph_adaptive_null/
EPOCH-021,redesigned component-channel value-recovery surface (asymmetric block amplitude + anchor-learned Fisher weighting),§12 (third power surface — ATTEMPT 2),L1,"HARNESS_NOT_VALIDATED (fail-closed, 2nd attempt) -- but with a STRONG diagnosis disclosed pre-freeze: the residual LB-point failure is ANALYTICALLY INVARIANT to amplitude tuning (bisection-calibrated noise scales with A_ROW, self-cancelling row SNR gains; verified across A_ROW in {1.3,2,3,4}). The real barrier is ANCHOR COVERAGE: 12 anchors over an 18-class row axis cover only ~9/18 in expectation",POSITIVE_RELATIVE,heuristic,,none,descriptive only (uncertified; PC failed),397633786d941f96f96d769ea6781c6a7a3a09d85ec4e81fe28b17f9fffa66a6,2026-07-08,epochs/EPOCH-021/prereg.md; epochs/EPOCH-021/plan_hash.txt; epochs/EPOCH-021/result.json; epochs/EPOCH-021/DEVIATIONS.md; reports/EPOCH021_COMPONENT_POWER_SURFACE_V2.md; scripts/epoch021_component_power_surface_v2.py; data/component_power_surface_v2/
