cluster,name,authors_year,venue_or_url,near_neighbor,blinded_structural_role_induction,cross_script_transfer,uncertainty_aware,sealed_heldout_eval,what_it_does,notes
la-lb-administration,Schoep — Linear A administration,"Ilse Schoep, 1999/2002","AJA 103 (1999) 'Tablets and Territories?'; 'The Administration of Neopalatial Crete', Minos Suppl. (2002)",FAR,False,False,False,False,"Human epigraphic/archaeological reconstruction of the Late Minoan IB Linear A administrative apparatus: document typology (tablets, roundels, noduli, nodules), find-context, and inferred political geography of the archives.","Foundational for the CONCEPT of administrative document roles/typology, but entirely by human reading of context; monolingual Linear A; no blinding, no model, no held-out test. Far from the method-novelty; near only in subject."
la-lb-administration,Helena Tomas — Linear A vs Linear B administrative systems,"Helena Tomas, ~2010–2013 (DPhil Oxford)","Persée mom_1955-4982_2010 'Linear A versus Linear B administrative systems...'; DPhil 'Understanding the transition between Linear A and Linear B scripts', Oxford",MODERATE,False,True,False,False,"Comparative human study of the three Aegean administrative systems (Cretan Hieroglyphic, Linear A, Linear B): shared clay-tablet accounting vs system-specific documents (roundels/sealings for A; labels/nodules/noduli for B), arguing Minoan practice shaped Mycenaean.","Nearest in this cluster on the SCHEMA axis: directly compares administrative document-families/structures ACROSS A and B. But it is qualitative human epigraphy using full knowledge of Linear B readings — the opposite of blinding — and has no model, no uncertainty quantification, no held-out partition/transfer gate."
la-lb-administration,Davis & Valério — contextual study of HT 85 and HT 117,"Brent Davis & Miguel Valério, 2020","NEOTEROS: Studies... in Honor of J.G. Younger (Aegaeum 44), 2020",MODERATE,False,True,False,False,"Contextual analysis of the '1-lists' on Hagia Triada tablets HT 85 and HT 117, testing whether the entries are personal names vs designations of people (i.e., administrative roles), using Linear B anthroponym parallels and cautioning against over-identification.","Nearest on the ROLE axis — 'designations of people' = administrative roles. But it is deliberately UN-blinded: it leans on Linear B phonetic/anthroponym readings to interpret, exactly the phonetic crutch the novelty removes. Single-pair case study, no held-out eval, no model, no calibrated uncertainty."
la-lb-administration,Salgarella — Linear A overview / Aegean Linear Scripts,"Ester Salgarella, 2020","Aegean Linear Script(s): Rethinking the Relationship Between Linear A and Linear B, Cambridge Classical Studies, CUP 2020; SigLA database (sigla.phis.me)",FAR,False,True,False,False,"Palaeographic/structural study of the genetic relationship between Linear A and Linear B (script vs writing-system distinction, sign-by-sign homomorphy), plus the SigLA palaeographical database (~300 signs / ~400 inscriptions).","Cross-script at the SIGN level (genetic/graphic relationship), not administrative role/schema induction. Human palaeography; SigLA is a data resource (used by logos), not a blinded predictive model. No held-out eval, no uncertainty gate."
la-lb-administration,"Salgarella, Bellinato & Ferrara 2025 — spice-related logograms","Silvia Ferrara, Ester Salgarella, Laura Bellinato, 2025","Kadmos 64.1-2 (2025) 29-44, 'On Aegean Spices: Decipherment Prospects on Linear A and B Spice-Related Signs', De Gruyter",FAR,False,True,False,False,Proposes new readings for undeciphered spice/perfumed-oil logograms and monograms on Pylos Linear B tablets by combining contextual analysis with graphic comparison to Linear A and scribal disambiguation strategies.,"Explicit DECIPHERMENT/reading goal (semantic values of logograms) — precisely the glossed, un-blinded direction the novelty avoids. Cross-script graphic comparison A<->B, but human, per-sign, no held-out partition, no calibrated uncertainty, no role/schema induction."
la-lb-administration,Corazza et al. — Linear A fraction values,"Michele Corazza, Barbara Montecchi, Miguel Valério, Fabio Tamburini, Silvia Ferrara, 2021","Journal of Archaeological Science 125 (2021), 'The mathematical values of fraction signs in the Linear A script: A computational, statistical and typological approach'",MODERATE,False,True,True,False,"Computational+statistical+typological assignment of mathematical values to Linear A fraction signs: enumerates ~4M candidate value-assignments, prunes via constraints and statistical/typological tests, and shows convergence explaining Linear B measurement-sign derivation.","Nearest on METHOD: genuinely computational/statistical with a large hypothesis space and significance-style pruning (uncertainty-aware in a statistical sense), and it connects LA values to LB metrology (cross-script). BUT it targets numeric/metrological values, not administrative ROLE/SCHEMA; it is not blinded (uses cross-script typology openly) and has no sealed held-out/transfer gate. This is th"
corpora-editions,"Braović, Krstinić, Štula & Ivanda 2024 — A Systematic Review of Computational Approaches to Deciphering Bronze Age Aegean and Cypriot Scripts","Maja Braović, Damir Krstinić, Maja Štula, Antonia Ivanda, 2024","Computational Linguistics 50(2):725–779, MIT Press — https://aclanthology.org/2024.cl-2.7/",MODERATE,False,False,False,False,"Systematic literature review cataloguing computational decipherment approaches across Archanes, Phaistos Disk, Cretan Hieroglyphic, Linear A, Linear B, Cypro-Minoan and Cypriot scripts. Enumerates 15 challenges in computational decipherment, reviews digital corpora and cross-script links, and outlin","The single most-relevant contextual reference: it maps the entire field including cross-script links and computational challenges, so any reviewer will expect it cited. But it induces nothing and evaluates nothing — cross_script is discussed as a survey topic, not performed. It surveys phonetic/neural-decipherment work; the blinded structure-only role/schema-induction framing does not appear as a "
corpora-editions,SigLA — The Signs of Linear A: A Palæographical Database,"Ester Salgarella & Simon Castellan, 2020–2021",https://sigla.phis.me/ ; paper: repository.cam.ac.uk/items/25c5d712-6e4c-4435-86a5-30f769ea4072 (Grapholinguistics/GLA5); CC BY-NC-SA 4.0,FAR,False,False,False,False,"Open-access palaeographical database: ~300 standard signs, ~400 hand-copied inscriptions, >3,000 individually searchable sign instances with drawings and bounding boxes. Enables statistical and palaeographical analysis of the Linear A epigraphic corpus. Salgarella's associated scholarship argues Lin","A corpus/edition substrate, not an inference method — it is the raw material the novelty programme's blinding operates ON, not a competing method. 'Structure' here means sign-glyph palaeography (shapes/strokes), NOT administrative-role or document-schema induction. Salgarella's A–B homomorphy is human palaeographic comparison, not a learned cross-script transfer gate, so cross_script_transfer=fals"
corpora-editions,DĀMOS — Database of Mycenaean at Oslo,"Federico Aurora (University of Oslo), 2015 (paper); ongoing",https://www2.hf.uio.no/damos/ ; paper: ScienceDirect S187704281504416X (Procedia); ub.uio.no/.../damos/,FAR,False,False,False,False,"First fully annotated electronic corpus of all published Mycenaean Linear B texts (~5,900 administrative documents). Provides transliterations, phonological transcriptions, scribal-hand attributions, findsite, chronology, logograms, and multi-level annotation that can store competing linguistic inte","The annotated Linear B corpus that the novelty claim HIDES (readings/glosses) — it is the input, not a method. Its multi-level annotation 'accommodates uncertainty' only in the editorial sense of storing rival human interpretations; it is not a probabilistic/calibrated uncertainty-aware model, so uncertainty_aware=false. Carries exactly the phonetic transcriptions/glosses the programme's blinding "
corpora-editions,LiBER — Linear B Electronic Resources,"Maurizio Del Freo & Francesco Di Filippo (CNR), with Françoise Rougemont, 2013–present (V.2 ~2020)",https://liber.cnr.it/ ; http://liber.isma.cnr.it/project.html ; academia.edu/45613920,FAR,False,False,False,False,"Integrated digital critical edition of Linear B documents that preserves original scribal LAYOUT — on-screen rendering respects spatial disposition (spacing between signs, gap sizes) plus transcriptions, critical apparatus, photos, findspots, scribes, chronologies. Searchable by document series, syl","Closest in spirit on the 'document-SCHEMA/layout' axis — it deliberately preserves spatial/layout structure of administrative tablets, which is the signal the novelty claim exploits. But LiBER is a human edition/browser: it renders and indexes layout, it does not INDUCE roles or schemas or evaluate on held-out families. No blinding (it displays full Greek readings). A useful layout-feature provena"
